# 韩国人名用汉字
# https://github.com/rutopio/Korean-Name-Hanja-Charset
# https://github.com/zispace/data-hanja
# https://hanja.dict.naver.com/#/category/name
#
# hanja	unicode	pua	consonant	hangul

芡	U+82A1	0	ㄱ	검
鈐	U+9210	0	ㄱ	검
黔	U+9ED4	0	ㄱ	검
刦	U+5226	0	ㄱ	겁
刧	U+5227	0	ㄱ	겁
劫	U+52AB	0	ㄱ	겁
怯	U+602F	0	ㄱ	겁
抾	U+62BE	0	ㄱ	겁
迲	U+8FF2	0	ㄱ	겁
偈	U+5048	0	ㄱ	게
憩	U+61A9	0	ㄱ	게
揭	U+63ED	0	ㄱ	게
挌	U+630C	0	ㄱ	격
搹	U+6439	0	ㄱ	격
擊	U+64CA	0	ㄱ	격
格	U+683C	0	ㄱ	격
檄	U+6A84	0	ㄱ	격
毄	U+6BC4	0	ㄱ	격
激	U+6FC0	0	ㄱ	격
膈	U+8188	0	ㄱ	격
覡	U+89A1	0	ㄱ	격
闃	U+95C3	0	ㄱ	격
隔	U+9694	0	ㄱ	격
骼	U+9ABC	0	ㄱ	격
鬲	U+9B32	0	ㄱ	격
鴃	U+9D03	0	ㄱ	격
堅	U+5805	0	ㄱ	견
掔	U+6394	0	ㄱ	견
汧	U+6C67	0	ㄱ	견
涀	U+6D80	0	ㄱ	견
牽	U+727D	0	ㄱ	견
犬	U+72AC	0	ㄱ	견
狷	U+72F7	0	ㄱ	견
甄	U+7504	0	ㄱ	견
畎	U+754E	0	ㄱ	견
筧	U+7B67	0	ㄱ	견
絹	U+7D79	0	ㄱ	견
縳	U+7E33	0	ㄱ	견
繭	U+7E6D	0	ㄱ	견
繾	U+7E7E	0	ㄱ	견
羂	U+7F82	0	ㄱ	견
肩	U+80A9	0	ㄱ	견
蠲	U+8832	0	ㄱ	견
見	U+898B	0	ㄱ	견
詃	U+8A43	0	ㄱ	견
譴	U+8B74	0	ㄱ	견
遣	U+9063	0	ㄱ	견
鄄	U+9104	0	ㄱ	견
鰹	U+9C39	0	ㄱ	견
鵑	U+9D51	0	ㄱ	견
㓗	U+34D7	0	ㄱ	결
㛃	U+36C3	0	ㄱ	결
䤿	U+493F	0	ㄱ	결
抉	U+6289	0	ㄱ	결
決	U+6C7A	0	ㄱ	결
洯	U+6D2F	0	ㄱ	결
潔	U+6F54	0	ㄱ	결
炔	U+7094	0	ㄱ	결
焆	U+7106	0	ㄱ	결
玦	U+73A6	0	ㄱ	결
結	U+7D50	0	ㄱ	결
缺	U+7F3A	0	ㄱ	결
觖	U+89D6	0	ㄱ	결
訣	U+8A23	0	ㄱ	결
迼	U+8FFC	0	ㄱ	결
鍥	U+9365	0	ㄱ	결
闋	U+95CB	0	ㄱ	결
傔	U+5094	0	ㄱ	겸
兼	U+517C	0	ㄱ	겸
嗛	U+55DB	0	ㄱ	겸
岒	U+5C92	0	ㄱ	겸
嵰	U+5D70	0	ㄱ	겸
慊	U+614A	0	ㄱ	겸
拑	U+62D1	0	ㄱ	겸
槏	U+69CF	0	ㄱ	겸
歉	U+6B49	0	ㄱ	겸
箝	U+7B9D	0	ㄱ	겸
縑	U+7E11	0	ㄱ	겸
蒹	U+84B9	0	ㄱ	겸
謙	U+8B19	0	ㄱ	겸
鉗	U+9257	0	ㄱ	겸
鎌	U+938C	0	ㄱ	겸
黚	U+9EDA	0	ㄱ	겸
鼸	U+9F38	0	ㄱ	겸
㓏	U+34CF	0	ㄱ	경
㯳	U+3BF3	0	ㄱ	경
京	U+4EAC	0	ㄱ	경
亰	U+4EB0	0	ㄱ	경
倞	U+501E	0	ㄱ	경
傹	U+50B9	0	ㄱ	경
傾	U+50BE	0	ㄱ	경
儆	U+5106	0	ㄱ	경
冂	U+5182	0	ㄱ	경
冏	U+518F	0	ㄱ	경
剄	U+5244	0	ㄱ	경
剠	U+5260	0	ㄱ	경
勁	U+52C1	0	ㄱ	경
勍	U+52CD	0	ㄱ	경
卿	U+537F	0	ㄱ	경
哽	U+54FD	0	ㄱ	경
囧	U+56E7	0	ㄱ	경
埂	U+57C2	0	ㄱ	경
境	U+5883	0	ㄱ	경
巠	U+5DE0	0	ㄱ	경
幜	U+5E5C	0	ㄱ	경
庚	U+5E9A	0	ㄱ	경
