
# 常用标准汉喃字表（2024年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表1共3975字（分为6级，即1、2、3、4、5、T，分别有244、342、464、478、490、1957字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𡨸漢喃	音讀	level	譬喻	𥱬註
悲	BI	2	悲劇 bi kịch · 悲哀 bi ai · 悲慘 bi thảm · 悲觀 bi quan · 愁悲 sầu bi · 悲切 bi thiết	U+60B2
碑	BI	T	碑記 bi kí · 碑文 bi văn	U+7891
碑	bia	T	碑墓 bia mộ · 𢏑碑 bắn bia	
比	BỈ	2	渃比 nước Bỉ · 𥾽比 bền bỉ [𠸨]	U+6BD4
比	TỈ	2	比對 tỉ đối · 比例 tỉ lệ · 比喻 tỉ dụ · 比如 tỉ như · 比丘 tỉ khưu	
比	TÌ	2	比丘 tì kheo	
比	TỊ	2	推比 suy tị	
比	bì	2	分比 phân bì · 𬧺比 so bì · 推比 suy bì	
鄙	BỈ	5	粗鄙 thô bỉ	U+9119
秘	BÍ	2	秘傳 bí truyền · 秘密 bí mật ·秘訣 bí quyết · 秘書 bí thư · 秘名 bí danh · 秘𡌀 bí bết	U+79D8
被	BÍ	3	植物被子 thực vật bí tử	U+88AB
被	BỊ	3	𠀧被 ba bị · 被動 bị động · 被告 bị cáo	
皮	BÌ	4	封皮 phong bì · 包皮 bao bì ·陳皮 trần bì · 下皮 hạ bì	U+76AE
皮	bề	4	皮𩈘 bề mặt · 皮外 bề ngoài ·坌皮 bộn bề [𠸨]	
備	BỊ	2	準備 chuẩn bị · 設備 thiết bị	U+5099
𣖾	bị	T	𠹌抇𬘋𣖾 năng nhặt chặt bị	U+235BE
𨡕	bia	T	𨢇𨡕 rượu bia [摱]	U+28855
碧	BÍCH	T	玉碧 ngọc bích	[翻] U+78A7
碧	biếc	T	青碧 xanh biếc · 𦬩碧 lộc biếc	
礔	bịch	T	礔𦙏 bịch ngực · 𠐔礔 lố bịch ·砰礔 bình bịch [聲] · 𬦮礔𠬠丐 nhảy bịch một cái	U+7914
編	BIÊN	2	正編 chính biên · 編撰 biên soạn	U+7DE8
邊（边）	BIÊN	3	邊界 biên giới · 邊防 biên phòng · 邊疆 biên cương	U+908A (U+8FB9)
邊（边）	bên	3	邊𥪝 bên trong · 邊𨑗 bên trên · 邊沛 bên phải	
邊（边）	ven	3	邊瀧 ven sông · 邊㴜 ven biển	
匾	BIỂN	T	匾號 biển hiệu · 匾數 biển số ·匾廣告 biển quảng cáo	U+533E
㴜	biển	2	㴜𪥘󠄁 biển cả · 𩈘㴜 mặt biển ·坡㴜 bờ biển	[異] 𤅶 U+3D1C
遍	BIẾN	T	普遍 phổ biến	U+904D
變（变）	BIẾN	1	變𠅒 biến mất · 應變 ứng biến · 變化 biến hoá · 政變 chính biến	U+8B8A (U+53D8)
辨	BIỆN	T	辨別 biện biệt	U+8FA8
辦	BIỆN	T	辦法 biện pháp · 辦𨢇 biện rượu	U+8FA6
辯	BIỆN	3	辯論 biện luận · 雄辯 hùng biện · 辯白 biện bạch · 辯駁 biện bác	U+8FAF
怲	biếng	5	𢜞怲 lười biếng	U+6032
別	BIỆT	1	𠫾別 đi biệt · 別離 biệt li · 別吣 biệt tăm · 駢別 biền biệt · 別墅 biệt thự	U+5225
別	biết	1	別讀 biết đọc · 別條 biết điều ·曉別 hiểu biết	
表	BIỂU	1	代表 đại biểu · 表現 biểu hiện · 表圖 biểu đồ · 時課表 thời khoá biểu	U+8868
表	bẻo	1	表𣱾 bẻo lẻo · 棹表 chèo bẻo	
俵	BIẾU	T	敬俵 kính biếu · 俵釧 biếu xén	U+4FF5
兵	BINH	2	兵士 binh sĩ · 憲兵 hiến binh ·兵𪜯 binh lính	U+5175
秉	bỉnh	5	嗙秉 bướng bỉnh [𠸨]	U+79C9
平	BÌNH	1	平安 bình an · 平原 bình nguyên · 不平 bất bình · 平等 bình đẳng · 和平 hoà bình	[翻] U+5E73
平	bằng	1	平僥 bằng nhau · 垌平 đồng bằng · 公平 công bằng · 平𢚸 bằng lòng · 𠬠共𠬠平𠄩 một cộng một bằng hai	
屏	BÌNH	T	𬌓屏風 tấm bình phong	U+5C4F
瓶	BÌNH	T	瓶渃 bình nước · 瓶𨢇 bình rượu	U+74F6
評	BÌNH	T	評論 bình luận · 評品 bình phẩm	U+8A55
𧦟	bịp	4	驢𧦟 lừa bịp · 𧦟姂 bịp bợm	U+2799F
𧦟	mớp	4	縸𧦟 mắc mớp [𠸨]	
蔽	bít	5	𭇛蔽 bưng bít · 蔽膝 bít tất	[翻] U+853D
莂	bịt	T	莂𦖻 bịt tai · 莂𩈘 bịt mặt · 莂 𤿰 bịt trống · 𪖫箭莂鉄 mũi tên bịt sắt	U+8382
