# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

𤙭	bò	T		𤙭𡣨 bò cái · 𤙭㴜 bò biển · 裙𤙭 quần bò · 餅𤙭 bánh bò
𨁏	bò	T		𧋻𨁏 rắn bò · 𨁏𨑜𡐙 bò dưới đất
鯆	bò			𩵜鯆 cá bò
𡀨	bõ			拯𡀨 chẳng bõ
𧌂	bọ	T		螻𧌂 sâu bọ
俌	bô	T		俌老 bô lão
㗘	bô			吶㗘㗘 nói bô bô [聲]
𥮉	bô	T		䈵𥮉 ống bô (pô) [譯] · 𢭰𥮉渃解 đổ bô nước giải [譯]
捕	bổ	T		捕檜 bổ củi · 捕喠 bổ chửng
補	BỔ	3		補充 bổ sung · 修補 tu bổ · 補血 bổ huyết · 補語 bổ ngữ
布	BỐ	3		布告 bố cáo · 布置 bố trí · 頒布 ban bố · 布局 bố cục · 分布 phân bố
怖	BỐ	5		恐怖 khủng bố · 拥怖 ruồng bỏ
𢂞	bố	5		𢂞媄 bố mẹ
匏	bồ	T	⇔ 匏 bầu	匏欲 bồ dục
菩	BỒ	2		菩薩 bồ tát · 菩提 bồ đề
蒲	BỒ	T		蒲結 bồ kết · 蒲筠 bồ quân · 蒲柳 bồ liễu · 蒲公英 bồ công anh
蔀	bồ	T	⇔ 蔀 bậu	笈蔀 cặp bồ · 蔀𡭺 bồ nhí
䈬	bồ	T		䈬搞 bồ cào · 䈬𢸵 bồ bịch
𪁭	bồ	T		𪁭鳩 bồ câu · 𪁭𪇌 chim bồ nông
𤇦	bồ		⇔ 𤇦 mồ	
步	BỘ	3		𠫾步 đi bộ · 百步 bách bộ · 同步 đồng bộ · 塘步 đường bộ · 步兵 bộ binh · 𪜯水打步 lính thuỷ đánh bộ
步	bộ	3		步𠏭𣊾𧡊𢤟𡗋咍哰丕？ Bộ tụi bây thấy chán lắm hay sao vậy?
部	BỘ	1		部分 bộ phận · 幹部 cán bộ · 部樣 bộ dạng · 𫜵部 làm bộ · 全部 toàn bộ · 部裙襖 bộ quần áo · 俱樂部 câu lạc bộ
簿	BỘ	5		登簿 đăng bộ · 鄉簿 hương bộ
巴	bơ	T		巴𤷵 bơ phờ · 巴噅 bơ vơ · 醒巴 tỉnh bơ · 㗶巴𠓨餅麪 phết bơ vào bánh mì [譯]
𡃓	bớ			扒𡃓 bắt bớ [𠸨]
坡	bờ	4		坡㴜 bờ biển · 坡𬏇 bờ ruộng · 坡梨俱 Pleiku (Bờ-lây-cu)
𠳝	bỡ			𠳝𢣸 bỡ ngỡ
𡀠	bợ	T		暫𡀠 tạm bợ
剝	bóc	5		剝蛻 bóc lột · 剝𤿭 bóc vỏ
襆	bọc	T		包襆 bao bọc · 𦅰襆 đùm bọc
卜	BỐC			占卜 chiêm bốc
扑	bốc	T		扑籤 bốc thăm · 扑𫇿 bốc thuốc
僕	BỘC	T		奴僕 nô bộc
曝	BỘC	5		曝露 bộc lộ · 曝𠻊 bộc tuệch
爆	BỘC	T		爆發 bộc phát
𧴤	bói	T		䀡𧴤 xem bói
𫽗	bôi	T		𫽗渘 bôi nhọ · 𫽗駁 bôi bác
貝	BỐI	1		寶貝 bảo bối
背	BỐI	2		背景 bối cảnh
輩	BỐI	T		前輩 tiền bối · 後輩 hậu bối · 長輩 trưởng bối
𦁀	bối	T		𦁀𦇒 bối rối · 𠶎𦁀 bê bối
培	BỒI	T		培養 bồi dưỡng · 培補 bồi bổ · 培㙮 bồi đắp · 紙培 giấy bồi
徘	BỒI	T		徘徊 bồi hồi · 徘盤 bồi bàn [譯] · 徘𤇮 bồi bếp [譯]
賠	BỒI	T		賠償 bồi thường · 賠還 bồi hoàn
佩	BỘI	5		佩服 bội phục · 玉佩 ngọc bội
佩	bội	5		喝佩 hát bội
背	BỘI	2		背約 bội ước · 背薄 bội bạc · 背恩 bội ơn
倍	BỘI	T		倍數 bội số · 扱倍 gấp bội
𬈺	bơi	T		𣘊𬈺 đồ bơi · 𬈺過瀧 bơi qua sông
𤳷（𪽝）	bởi	2		𤳷爲 bởi vì · 𤳷在 bởi tại
捭	bới	5		捭𢪮 bới móc · 掏捭 đào bới
𢱎	bời			𦇒𢱎 rối bời · 𨔈𢱎 chơi bời
𠰏	bom	4		𠰏彈 bom đạn [譯] · 揇𠰏 ném bom [譯] · 果𠰏 quả bom [譯]
𠰏	bôm	4		𠰏抸 bôm bốp
泵	bơm			丐泵 cái bơm [譯] · 泵渃 bơm nước [譯]
姂	bợm			𧦟姂 bịp bợm · 姂𫅷 bợm già · 姂𠻼 bợm nhậu
𨁼	bon	5		𨁼𢫔 bon chen
𢫆	bón	T		𢫆糞 bón phân
𤵳	bón			燥𤵳 táo bón
𦏓	bọn	4		結𦏓 kết bọn · 𦏓𡮠 bọn mày
𦊚	bốn	4		𦊚方 bốn phương · 茹𦊚層 nhà bốn tầng
盆	BỒN	T		盆栽 bồn tài · 盆地 bồn địa · 蘿搽盆 lá chà bồn · 臨盆 lâm bồn · 瀧秋盆 sông Thu Bồn · 盆𤶐 bồn chồn [𠸨]
坌	bộn			坌皮 bộn bề [𠸨]
𤊡	bỏng	5		被𤊡 bị bỏng · 𤊡吳 bỏng ngô
琫	bóng	5		琫琫 bong bóng · 琫畑 bóng đèn · 琫跢 bóng đá
𡞗	bóng	T		僮𡞗 đồng bóng
𣈖	bóng	4		𨅸𣈖 đứng bóng · 𤏬𣈖 sáng bóng · 𣈖𪵅 bóng lộn · 𣈖𣘃 bóng cây · 𣈖𠖾 bóng mát
葻	bông	T		葻花 bông hoa · 𧜖葻 chăn bông · 𤠰葻 gấu bông
俸	BỔNG	T		糧俸 lương bổng · 學俸 học bổng
𩗴	bổng	T		𢒎𩗴 bay bổng · 𢩮𩗴 nhấc bổng
捧	bồng			捧嬖 bồng bế
蓬	BỒNG			蓬萊 bồng lai
唪	bỗng	T		唪𡎺 bỗng chốc · 唪然 bỗng nhiên · 𦰟畑唪𤎕 ngọn đèn bỗng tắt
𢯒	bóp	5		𢯒勝 bóp thắng
抸	bốp			𠰏抸 bôm bốp
𠶙	bộp			𠶙摯 bộp chộp
勃	BỘT	T		勃麪 bột mì · 勃𦭷青 bột màu xanh · 蓬勃 bồng bột · 勃發 bột phát · 勃起 bột khởi
抔	bớt	T		減抔 giảm bớt · 添抔 thêm bớt · 咹抔 ăn bớt · 抔税 bớt thuế
𤴭	bớt			𤴭青 bớt xanh
𡜵	bu			𡜵㗒 bu ơi
裒	bu		⇔ 裒 bâu	
䈻	bu			丐䈻抵𡳝𪃿 cái bu để rốt gà
補	bù	3		搷補 đền bù · 補㙮 bù đắp
斧	búa	T		斧𠠙 búa rìu · 𫘲斧 hóc búa · 𨑗砥𨑜斧 trên đe dưới búa
符	bùa	3		符法 bùa phép · 掩符 yểm bùa
耚	bừa	T		𦓿耚 cày bừa · 耚𡓁 bừa bãi
𩛷	bữa	T		𩛷咹 bữa ăn · 𩛷席 bữa tiệc
㯷	bục			㯷講 bục giảng · 磟㯷 lục bục
幅	BỨC	T		幅幀 bức tranh · 幅墻 bức tường
煏	bức	T		𤎏煏 nóng bức
逼	BỨC	4		逼供 bức cung · 逼迫 bức bách
輻	BỨC	T		輻射 bức xạ
堛	bực	4	⇔ 堛 bậc	
愊	bực	4		𢞂愊 buồn bực · 愊𨂔 bực dọc [𠸨]
裴	BÙI	5		𣱆莫 họ Bùi
裴	bùi	5		裴𦖻 bùi tai
𦹷	bụi	T		𦹷葚 bụi rậm · 𣘃𦹷 cây bụi
𡏧	bụi	T		𡏧𠁀 bụi đời · 𡏧稟 bụi bặm [𠸨]
䮇	buýt	T		車䮇 xe buýt [譯]
𣱭	bủm			丐𣱭 cái bủm
𠏟	bụm			𠬠𠏟𥽌 một bụm gạo · 𠏟𠰘唭 bụm miệng cười
𥻸	bún			𥻸𦙣 bún mọc
湓	bùn	T		𡐙湓 đất bùn · 湓浰 bùn lầy
𨮇	bung			𨮇衝 bung xung
熢	bùng	4		熢砮 bùng nổ · 熢發 bùng phát
䏾	bụng	5		䏾胣 bụng dạ · 𩟡䏾 đói bụng
𢫕	bưng	T		𢫕蔽 bưng bít
𣵮	bưng			𣵮洴 bưng biền
𤇊	bừng	T		𧹻𤇊 đỏ bừng · 熷𤇊 tưng bừng
𫃚	buộc	3		抪𫃚 bó buộc · 繓𫃚 trói buộc · 扒𫃚 bắt buộc
𨀈	bước	3		𨀈𠫾 bước đi · 𨀈𬧐 bước tới · 拮𨀈 cất bước
𣇜	buổi	3		𣇜𣋁 buổi tối · 𣇜𤏬 buổi sáng
𣞻（𣘓）	bưởi			絁𤿭𣞻 the vỏ bưởi
帆	buồm	T		𦑃帆 cánh buồm
𧊉	bướm	T		𧊉𧊉 bươm bướm · 𧊉𣎀 bướm đêm · 𢒎𧊉 bay bướm
販	buôn	3		販𬥓 buôn bán · 販轉 buôn chuyến
𢞂	buồn	3		𢞂愁 buồn rầu · 信𢞂 tin buồn · 𢞂𥄬 buồn ngủ
捹	buông	T		捹𣿅 buông lỏng · 捹赦 buông tha · 捹㗰 buông tuồng · 捹𣵶 buông xuôi
椖	buồng	T		椖浸 buồng tắm · 椖梩 buồng lái · 椖絁 buồng the · 椖絩 buồng thêu · 椖𠨡 buồng trứng · 椖荎 buồng chuối
芣	búp	T		茶芣 chè búp · 芣笀 búp măng
筆	BÚT	4		筆啤 bút bi · 筆𣛠 bút máy · 筆𨨲 bút chì · 隨筆 tuỳ bút
侼	bụt	T		翁侼 ông Bụt · 𩂐侼 dâm bụt
郵	BƯU	T		郵件 bưu kiện · 郵帖 bưu thiếp · 郵影 bưu ảnh · 郵電 bưu điện
迦	CA	5		德釋迦 Đức Thích Ca
哥	CA	T		大哥 đại ca
喀	ca	T		叫喀 kêu ca · 交喀 giao ca [譯] · 喀𠝺 ca mổ [譯] · 喀病 ca bệnh [譯]
歌	CA	3	歌毛 Cà Mau	歌士 ca sĩ · 山歌 sơn ca · 歌𠿿 ca ngợi · 歌頌 ca tụng · 凱歌 khải ca · 唱歌 xướng ca · 國歌 quốc ca
𣘁	CA			𣘁茶 ca trà [譯]
價	cả	1		嚜價 mặc cả
𪥘󠄁	cả	4		悉𪥘󠄁 tất cả · 𪥘󠄁茹 cả nhà · 仉𪥘󠄁 kẻ cả
亇	cá	T		亇度 cá độ · 亇馭 cá ngựa · 亇𥅘 cá nháy
個	CÁ	2		個別 cá biệt · 個人 cá nhân · 個性 cá tính
𩵜	cá	5		𡥵𩵜 con cá · 𩵜馭 cá ngựa · 𩵜𩸄 cá quả
㧝	cà	T		㧝椒 cà tiêu · 𤛠㧝𨉞𠓨𣘃 trâu cà lưng vào cây
咖	CÀ	5		咖啡 cà phê
咖	cà	5		咖筥 cà rá · 咖計 cà kê · 咖蹺 cà kheo · 邏咖 la cà
茄	cà	T		茄𦻳 cà tím · 茄䣷 cà chua
袈	CÀ	T		袈裟 cà sa
蜞	cà			蜞𧋵 cà cuống
各	CÁC	1		各伴 các bạn · 各位 các vị
閣	CÁC	T		內閣 nội các · 閨閣 khuê các
𡁤	cạc			𡁤𡁤 cạc cạc [聲] · 𡁤𦁸 cạc mạng [譯] · 𡁤幔形 cạc màn hình
革	CÁCH	1		革命 cách mạng · 革職 cách chức
格	CÁCH	2		格式 cách thức · 特格 đặc cách · 性格 tính cách · 規格 quy cách · 攊格 lách cách [聲]
隔	CÁCH	4		隔賒 cách xa · 隔低 cách đây · 隔音 cách âm · 隔別 cách biệt · 隔離 cách li · 隔阻 cách trở · 隔電 cách điện
骼	CÁCH	T		骨骼 cốt cách
戒	cai	3		戒𢞆 cai nghiện · 戒𣷱 cai sữa
街	cai			老街 Lào Cai
該	CAI	5		該管 cai quản · 該治 cai trị · 該總 cai tổng
改	CẢI	2		改善 cải thiện · 改良 cải lương · 改正 cải chính · 改𡏢 cải mả · 改花 cải hoa
芥	cải	T		蔞芥 rau cải · 芥花 cải hoa
𣒵	cải	5		𧵑𣒵 của cải · 𣒵𡏢 cải mả
丐	cái	1		丐尼 cái này · 丐茹 cái nhà · 丐𢃱 cái mũ
蓋	CÁI	T		蓋世 cái thế
𡣨	cái	T		𡨸𡣨 chữ cái · 𤙭𡣨 bò cái · 蕊𡣨 nhị cái
𢱙	cài			𢱙𨷯 cài cửa · 𢱙擺 cài bẫy · 𢱙撻 cài đặt
𠳚	cãi	4		爭𠳚 tranh cãi · 𠴞𠳚 bàn cãi
𨐮	cay	5		𨐮䔲 cay đắng · 𨐮勾 cay cú
𦓿	cày	T		捁𦓿 kéo cày · 𫁵𦓿 điếu cày
𢭄	cạy			𢭄𨷯 cạy cửa
𣘃	cây	2		𣘃樻 cây cối · 𣘃樋 cây thông
𥝽	cấy	T		𥝽穭 cấy lúa
𢚁	cậy	5		矓𢚁 trông cậy · 信𢚁 tin cậy
𢭄	cậy		⇔ 𢭄 cạy	
𪴗	cậy			𣘃𪴗 cây cậy
甘	CAM	5		甘願 cam nguyện · 甘結 cam kết · 不甘 bất cam · 甘𠹾 cam chịu · 甘露 cam lộ
柑	CAM	T		䏧柑 da cam · 柑桔 cam quýt · 柑𡊳 cam sành · 𦭷柑 màu cam
疳	CAM	T		病疳 bệnh cam · 疳㾹 cam sài
敢	CẢM	5		勇敢 dũng cảm
感	CẢM	1		感恩 cảm ơn · 感想 cảm tưởng · 感動 cảm động
感	cám	1		感景 cám cảnh · 感誘 cám dỗ · 感恩 cám ơn
𥽇	cám	T		𥺑𥽇 tấm cám
橄	cạm	T		橄擺 cạm bẫy
㤌	căm	5		㤌㘋 căm hờn · 㤌𢚷 căm giận
𣔋	căm			𣔋車踏 căm xe đạp
㩒	cắm	T		㩒寨 cắm trại · 塢㩒 ổ cắm
唫	cẩm	T		𡀫唫 lẩm cẩm · 𪝯唫 ngài cẩm [譯]
錦	CẨM	5		錦繡 cẩm tú
禁	CẤM	3		禁斷 cấm đoán · 禁忌 cấm kị · 嚴禁 nghiêm cấm · 禁止 cấm chỉ · 禁地 cấm địa · 禁口 cấm khẩu
芩	CẦM	T		黃芩 hoàng cầm
琴	CẦM	T		洋琴 dương cầm · 古琴 cổ cầm
禽	CẦM	4		禽獸 cầm thú · 家禽 gia cầm
擒	CẦM	2		擒權 cầm quyền · 監擒 giam cầm · 擒手 cầm tay · 擒囚 cầm tù
干	CAN	5		干犯 can phạm · 干係 can hệ · 干戈 can qua · 干拫 can ngăn · 天干 Thiên Can · 干打僥 can đánh nhau
杆	CAN	T		欄杆 lan can · 紙杆 giấy can [譯]
肝	CAN	4		心肝 tâm can · 肝腸 can trường · 肝膽 can đảm
捍	cản	3		捍阻 cản trở
桿	cán	T		桿斤 cán cân · 桿刀 cán dao
幹	CÁN	5		幹部 cán bộ · 骨幹 cốt cán · 敏幹 mẫn cán
擀	CÁN	T		擀𨨧 cán thép · 擀麪𥾘 cán mì sợi · 被車擀 bị xe cán
乾	CÀN			乾坤 càn khôn
㨴	càn	T		𫜵㨴 làm càn · 㨴𢭯 càn quét
𣴓	cạn	5		噥𣴓 nông cạn · 北𣴓 Bắc Kạn
根	CĂN	2		根源 căn nguyên · 根病 căn bệnh · 根房 căn phòng · 根腳 căn cước · 根問 căn vặn · 根吲 căn dặn · 根據 căn cứ · 根式 căn thức
哏	cắn	T		哏𪘵 cắn răng · 㹥哏 chó cắn
𣝀	cằn	T		𣝀𦓊 cằn cỗi · 𣝀㗴 cằn nhằn [𠸨]
𣷯	cặn			𣷯粑 cặn bã · 𣷯𠴜 cặn kẽ
巾	CÂN	T		巾帶 cân đai
斤	CÂN	3		淬斤 sút cân · 𬨠斤 lên cân · 桿斤 cán cân · 斤𢩮 cân nhắc · 斤對 cân đối · 三角斤 tam giác cân
筋	CÂN			筋肉 cân nhục
䌍	cẩn			𣘊物䌍硨磲 đồ vật cẩn xà cừ
謹	CẨN	4		信謹 tin cẩn · 謹慎 cẩn thận · 不謹 bất cẩn · 謹密 cẩn mật
泿	cấn			泿渃 cấn nước
硍	cấn			硍蹎 cấn chân · 垓硍 gay cấn
豤	cấn			𤞼豤 lợn cấn
芹	CẦN	T		蔞芹 rau cần · 芹苴 Cần Thơ · 芹沙 cần sa [譯]
竿	cần	T		竿鉤 cần câu
勤	CẦN	5		殷勤 ân cần · 勤儉 cần kiệm · 後勤 hậu cần · 勤劬 cần cù
懃	cần	T		不懃 bất cần · 懃急 cần kíp · 懃切 cần thiết
近	CẬN	2		接近 tiếp cận · 附近 phụ cận · 親近 thân cận · 近代 cận đại · 近視 cận thị
港	CẢNG	5		海港 hải cảng · 𤅶港 bến cảng · 港軍事 cảng quân sự
𫆥	cáng			𫆥當 cáng đáng
𪨈	càng	4		𪨈欣 càng hơn · 𪨈𨒟𪨈𢝙 càng đông càng vui · 薑𪨈𫅷𪨈𨐮 gừng càng già càng cay
𫋙	càng	T		𫋙𧍆 càng cua · 蜆𫋙 kiến càng · 𫋙車𤙭 càng xe bò · 𫋙炮 càng pháo · 𢬣𫋙𧵑鉗共力 tay càng của kìm cộng lực
矜	CĂNG	T		驕矜 kiêu căng
𢫮	căng	5		𢫮𣦎 căng thẳng · 𢫮絏 căng dây · 𢫮𣷱 căng sữa
更	CANH	4		更𣌉 canh khuya · 擒更 cầm canh · 更新 canh tân · 更博 canh bạc · 更𨷯 canh cửa · 更庫 canh kho
耕	CANH	T		耕作 canh tác · 深耕 thâm canh
綆	canh			綆絲黹𡲫 canh tơ chỉ vải
羹	CANH	T		羹䣷 canh chua · 𩚵羹 cơm canh · 餅羹 bánh canh · 羮茦 canh thuốc · 羹蜜 canh mật
𥓷	canh			叫𥓷𥓷 kêu canh canh [聲]
景	CẢNH	2		風景 phong cảnh · 景觀 cảnh quan · 背景 bối cảnh · 配景 phối cảnh
境	CẢNH	3		環境 hoàn cảnh · 入境 nhập cảnh · 境遇 cảnh ngộ
警	CẢNH	2		警察 cảnh sát · 警報 cảnh báo · 警醒 cảnh tỉnh · 警官 cảnh quan
更	CÁNH	4		自力更生 tự lực cánh sinh
耿	cánh	T		耿耿 canh cánh
竟	CÁNH	T		究竟 cứu cánh
𦑃	cánh	3		拮𦑃 cất cánh · 𦑃𢬣 cánh tay · 𦑃垌 cánh đồng · 花梅固𠄼𦑃 hoa mai có năm cánh
莄	cành	T		莄𣘃 cành cây · 莄幡 cành phan · 莄蘔 cành nhánh
競	CẠNH	4		競爭 cạnh tranh
𧣲	cạnh	4		邊𧣲 bên cạnh · 𧣲觟 cạnh khoé · 㓶𧣲 khía cạnh
高	CAO	2		高𡘯 cao lớn · 高度 cao độ · 歲高 tuổi cao · 𣘃高粱 cây cao lương
膏	CAO	T		膏虎骨 cao hổ cốt · 膏粱美味 cao lương mĩ vị · 膏蒭 cao-su [譯]
告	CÁO	2		告別 cáo biệt · 廣告 quảng cáo · 抗告 kháng cáo · 被告 bị cáo · 告辭 cáo từ · 告官 cáo quan
誥	CÁO	T		平吳大誥 Bình Ngô đại cáo
𤞺	cáo	T		𤞺𫅷 cáo già · 𡥵𤞺 con cáo
搞	cào	T		䈬搞 bồ cào
𠞟	cạo			刀𠞟 dao cạo
哈	cáp	T		哈光 cáp quang [譯] · 𩛃哈 quà cáp [𠸨]
𫊩	cạp			𧌂𫊩 bọ cạp
𠳖	cạp			咜𠳖 xà cạp
𢲩	cắp	5		咹𢲩 ăn cắp · 仉𢲩 kẻ cắp
笈	cặp	T		笈𥰇 cặp kè [𠸨] · 笈對 cặp đôi
靸	cặp	T		靸䏧 cặp da · 靸𠫾學 cặp đi học
急	CẤP	3		急迫 cấp bách · 危急 nguy cấp
級	CẤP	4		上級 thượng cấp · 中級 trung cấp · 超級 siêu cấp
給	CẤP	2		供給 cung cấp
及	CẬP	2		追及 truy cập · 不及 bất cập · 提及 đề cập · 及笄 cập kê
忣	cập	T		𤇥忣 lập cập · 忣𢙼 cập kễnh · 憞忣忣 run cầm cập [𠸨]
芨	CẬP			白芨 bạch cập
吉	CÁT	T		吉祥 cát tường
桔	CÁT			桔梗 cát cánh
割	CÁT	4		割據 cát cứ
葛	CÁT	T		葛藤 cát đằng · 𣱆諸葛 họ Gia Cát
𡋥	cát	T		雹𡋥 bão cát · 𡓁𡋥 bãi cát
割	cắt	4		割𦹯 cắt cỏ · 割義 cắt nghĩa
𪁄	cắt			𪀄𪁄 chim cắt
拮	cất	4		拮𨀈 cất bước · 拮𢩮 cất nhắc · 拮𨢇 cất rượu
皋	cau			皋𣮮 cau mày
槔	cau	T		𣘃槔 cây cau · 𦺓槔 trầu cau
㤧	cáu			㤧噶 cáu gắt
垢	cáu			垢𦛋 cáu ghét
勾	CÂU	T		勾結 câu kết
句	CÂU	1		句𠳨 câu hỏi · 句詩 câu thơ · 句文 câu văn
拘	CÂU	T		拘泥 câu nệ · 拘束 câu thúc
俱	CÂU	3		俱樂部 câu lạc bộ
鉤	CÂU	T		鉤𩵜 câu cá · 𦧜鉤 lưỡi câu
鳩	câu	T		𪁭鳩 bồ câu · 翁鳩 ông câu
駒	CÂU			𨀒駒 vó câu
㧨	cấu	T		搞㧨 cào cấu · 㧨𠶓 cấu véo · 㧨扯 cấu xé
逅	CẤU			邂逅 giải cấu
媾	CẤU	T		交媾 giao cấu
構	CẤU	3		機構 cơ cấu · 構造 cấu tạo · 虛構 hư cấu · 構成 cấu thành · 構結 cấu kết · 構思 cấu tứ
求	CẦU	2		要求 yêu cầu · 求奇 cầu kì · 求救 cầu cứu · 請求 thỉnh cầu
球	CẦU	4		形球 hình cầu · 球𣯡 cầu lông · 跢球 đá cầu · 半球 bán cầu
橋	cầu	4		楪橋 nhịp cầu · 橋鉄 cầu sắt · 橋虹 cầu vồng · 橋消 cầu tiêu · 橋簜 cầu thang
舅	cậu	3		舅𫲎 cậu mợ · 舅𪥘󠄁 cậu cả
𢮩	co	4		𢮩肌 co cơ
𦹯	cỏ	4		𡓁𦹯 bãi cỏ · 𦹯𦱊 cỏ tranh
固	có	1		固体 có thể · 固𫯳 có chồng · 固錢 có tiền · 固期 có khi · 固歲 có tuổi · 皋固 cau có
瞿	cò	T		瞿銃 có súng · 瞿眉車 cò-mi-xe [譯] · 翁瞿 ông cò [譯]
𪂲	cò	T		𡥵𪂲 con cò · 𪂲𩝇 cò mồi · 𪂲鋸 cò cưa · 𪂲𥰇 cò kè [𠸨] · 爐𪂲 lò cò [𠸨] · 濁渃脿𪂲 đục nước béo cò
椇	cọ			𣘃椇 cây cọ
𢮭	cọ			𠳚𢮭 cãi cọ · 𢮭嚓 cọ xát
姑	CÔ	1		姑教 cô giáo · 姑娘 cô nương · 尼姑 ni cô
孤	CÔ	T		孤獨 cô độc · 孤兒 cô nhi · 孤單 cô đơn · 孤立 cô lập · 孤魂 cô hồn · 摩孤 ma-cô [譯]
菇	CÔ	T		冬菇 đông cô
辜	CÔ	T		報辜 báo cô
古	CỔ	3		𣘊古 đồ cổ · 古傳 cổ truyền · 城古 thành cổ · 古敬 cổ kính · 埃及古 Ai Cập cổ
股	CỔ	4		股份 cổ phần · 股東 cổ đông
𦙶	cổ	5		㹯高𦙶 hươu cao cổ · 𦙶𢬣 cổ tay · 𦙶襖 cổ áo
賈	CỔ			賈害 cổ hại
鼓	CỔ	4		鼓動 cổ động · 鼓舞 cổ vũ · 鼓吹 cổ xuý
臌	CỔ			臌脹 cổ trướng
固	CỐ	1		加固 gia cố · 固定 cố định · 頑固 ngoan cố · 鞏固 củng cố · 固守 cố thủ · 固執 cố chấp · 固然 cố nhiên · 固𠡚 cố gắng · 固𬨠 cố lên
故	CỐ	3		事故 sự cố · 故鄉 cố hương · 俱故 cụ cố · 故總秘書 cố Tổng Bí thư
雇	CỐ	T		雇主 cố chủ · 雇農 cố nông · 擒雇 cầm cố
痼	CỐ	T		痼疾 cố tật
錮	CỐ	T		禁錮 cấm cố
顧	CỐ	4		照顧 chiếu cố
𡚝	cồ			大𡚝越 Đại Cồ Việt · 𪀄𪄸𡚝 chim trích cồ
鈷	cỗ			鈷炮 cỗ pháo · 鈷排 cỗ bài
𩚩	cỗ			鎫𩚩 mâm cỗ · 𩚩𢚸 cỗ lòng · 𩚩盤 cỗ bàn
𨍄	cộ			車𨍄 xe cộ
肌	CƠ	5		肌𣔟 cơ bắp · 𢮩肌 co cơ · 肌體 cơ thể
其	cơ	2	⇔ 其 kia	
奇	cơ	4		掌奇 chưởng cơ
飢	CƠ	T		飢極 cơ cực · 饑寒 cơ hàn
基	CƠ	2		基礎 cơ sở · 基業 cơ nghiệp · 基數 cơ số · 基督 Cơ Đốc
幾	CƠ	T		幾乎 cơ hồ · 幾萬 cơ man
機	CƠ	2		時機 thời cơ · 飛機 phi cơ · 機關 cơ quan · 投機 đầu cơ · 專機  chuyên cơ · 無機 vô cơ
據	cớ	2		據事 cớ sự · 摱據 mượn cớ · 原據 nguyên cớ · 緣據 duyên cớ
棋	cờ	4		棋圍 cờ vây · 棋博 cờ bạc
旗	cờ	4		蘿旗 lá cờ · 旗祖國 cờ tổ quốc
𢤫（𢤫󠄁）	cỡ	T		縸𢤫 mắc cỡ
櫸（櫸󠄁）	cỡ	T		戟櫸 kích cỡ · 尋櫸 tầm cỡ
唂	cóc	T		扒唂 bắt cóc · 唂𫜵得 cóc làm được · 𠯿唂 lóc cóc [聲]
𫈅	cóc			果𫈅 quả cóc
𧋉	cóc			𡥵𧋉 con cóc
梮	cọc			㨂梮 đóng cọc · 撻梮 đặt cọc · 𩲡梮 còi cọc
谷	CỐC	T		山谷 sơn cốc · 深山窮谷 thâm sơn cùng cốc · 祿谷 lốc cốc [𠸨]
𤭏	cốc			𤭏𠹾𤎏 cốc chịu nóng
穀	CỐC	T		兼穀 kem cốc · 辟穀 tịch cốc · 炭穀 than cốc
鵒	cốc			𡥵鵒 con cốc
䁛	coi	3		䁛冊 coi sách · 䁛茹 coi nhà
𢜽	cỏi			勁𢜽 cứng cỏi [𠸨] · 歉𢜽 kém cỏi [𠸨]
𩲡	còi	T		𠀲𡮣𩲡 đứa bé còi · 𩲡梮 còi cọc · 𩲡𩩫 còi xương
𧥇	còi	T		㗂𧥇 tiếng còi · 𠺙𧥇 thổi còi
𡎝	cõi	4		𡎝𠁀 cõi đời · 膁𡎝 còm cõi [𠸨]
瑰	CÔI	T		玟瑰 mân côi
𠎺	côi			單𠎺 đơn côi · 𠎺𠬒 côi cút · 𣳡𠎺 mồ côi
臼	cối			臼迆 cối giã
樻	cối	T		𣘃樻 cây cối
檜（桧）	cỗi	T	⇔ 檜 cội	
𦓊（𦓊󠄁）	cỗi			𣝀𦓊 cằn cỗi
檜（桧）	cội	T		檜源 cội nguồn
𢶒（𪭯）	cởi	T		𢶒襖 cởi áo · 𢶒𢲫 cởi mở
膁	còm			膁𡎝 còm cõi [𠸨]
𥺻	cốm			餅𥺻 bánh cốm
𩚵	cơm	4		咹𩚵 ăn cơm · 𠺙𩚵 thổi cơm
𣋜	cợm			劇𣋜 kịch cợm
𡥵	con	1		𤯰𡥵 đẻ con · 𡥵丐 con cái · 婆𡥵 bà con · 𡥵博 con bạc
𡀳	còn	1		𡀳徠 còn lại · 𡀳之 còn gì · 𦓡𡀳 mà còn
昆	CÔN	T		昆蟲 côn trùng · 銃昆 súng côn [譯]
崑	CÔN	T	崑嵩 Kon Tum	崑崙 Côn Lôn
棍	CÔN	T		遊棍 du côn · 棍徒 côn đồ · 棍拳 côn quyền
𩂀	cơn	4		𩂀𩄎 cơn mưa · 𩂀𩙍 cơn gió · 源𩂀 nguồn cơn
