# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

秘	BÍ	2		秘傳 bí truyền · 秘密 bí mật · 秘訣 bí quyết · 秘書 bí thư · 秘名 bí danh · 秘𡌀 bí bết · 秘小便 bí tiểu tiện · 﨤運秘 gặp vận bí
被	BÍ	1		植物被子 thực vật bí tử
𠸠󠄁（𠸠）	bí			𠸠󠄁甫 bí bo [聲]
比	bì	3		分比 phân bì · 𬧺比 so bì · 推比 suy bì
皮	BÌ	4		封皮 phong bì · 包皮 bao bì · 陳皮 trần bì · 下皮 hạ bì
被	BỊ	1		𠀧被 ba bị · 被動 bị động · 被告 bị cáo
備	BỊ	1		準備 chuẩn bị · 設備 thiết bị
𣖾	bị	T		𠹌抇𬘋𣖾 năng nhặt chặt bị
碑	bia	T		碑墓 bia mộ · 𢏑碑 bắn bia
𨡕	bia	T		𨢇𨡕 rượu bia [譯]
詖	bịa			詖撻 bịa đặt
碧	BÍCH	T		玉碧 ngọc bích
碧	biếc	T		青碧 xanh biếc · 𦬩碧 lộc biếc
編	BIÊN	3		正編 chính biên · 編撰 biên soạn
邊（边）	BIÊN	2		邊界 biên giới · 邊防 biên phòng · 邊疆 biên cương
匾	BIỂN	T		匾號 biển hiệu · 匾數 biển số · 匾廣告 biển quảng cáo
㴜	biển	3		㴜𪥘󠄁 biển cả · 𩈘㴜 mặt biển · 坡㴜 bờ biển
騙	BIỂN	T		騙取 biển thủ
遍	BIẾN	4		普遍 phổ biến
變（变）	BIẾN	2		變𠅒 biến mất · 應變 ứng biến · 變化 biến hoá · 政變 chính biến
洴	biền			𣵮洴 bưng biền
駢	biền			駢別 biền biệt
辦	BIỆN	4		辦法 biện pháp · 辦𨢇 biện rượu
辨	BIỆN	T		辨別 biện biệt
辯	BIỆN	4		辯論 biện luận · 雄辯 hùng biện · 辯白 biện bạch · 辯駁 biện bác
怲	biếng	T		𢜞怲 lười biếng
別	biết	1		別讀 biết đọc · 別條 biết điều · 曉別 hiểu biết
別	BIỆT	1		𠫾別 đi biệt · 別離 biệt li · 別沁 biệt tăm · 駢別 biền biệt · 別墅 biệt thự
表	BIỂU	2		代表 đại biểu · 表現 biểu hiện · 表圖 biểu đồ · 時課表 thời khoá biểu
𠶓	biểu			徠低𠶓 lại đây biểu
俵	BIẾU	T		敬俵 kính biếu · 俵釧 biếu xén
砭	bìm			砭䒦 bìm bịp
𠯴	bịn			𠯴𠱉 bịn rịn [𠸨]
兵	BINH	2		兵士 binh sĩ · 憲兵 hiến binh · 兵𪜯 binh lính
平	BÌNH	1		平安 bình an · 平原 bình nguyên · 不平 bất bình · 平等 bình đẳng · 和平 hoà bình
屏	BÌNH	4		𬌓屏風 tấm bình phong
瓶	BÌNH	T		瓶渃 bình nước · 瓶𨢇 bình rượu
評	BÌNH	5		評論 bình luận · 評品 bình phẩm
䒦	bịp			砭䒦 bìm bịp
𧦟	bịp	T		驢𧦟 lừa bịp · 𧦟姂 bịp bợm
蔽	bít	T		𢫕蔽 bưng bít · 蔽膝 bít tất
瓢	bìu			瓢𢬢 bìu díu · 瓢𬃻 bìu dái
逋	bo			𭊫逋 ki bo  · 𡨺逋逋 giữ bo bo
𥒰	bo	5		𥒰 bo [譯]
𠬃	bỏ	2		恄𠬃 ghét bỏ · 𠬃過 bỏ qua · 辭𠬃 từ bỏ · 𨑥𠬃 vứt bỏ
抪	bó	4		繃抪 băng bó
