# 常用标准汉喃字表（2023年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表2共2934字（表1分6级共3987字，两表合计6921字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

猉	cầy	𬚸猉 thịt cầy · 猉香 cầy hương · 假猉 giả cầy	
𪴗	cậy	𣘃𪴗 cây cậy	
詌	càm	詌諃 càm ràm	
𣔋	căm	𣔋車踏 căm xe đạp	
肣	cằm	丐肣 cái cằm · 歛肣 lẹm cằm · 肣𣃱 cằm vuông · 𩯁肣 râu cằm	
扲	cặm	扲𢷴 cặm cụi · 扲𪲍 cặm nêu	
噤	câm	噤𠰘 câm miệng · 劇噤 kịch câm · 噤𦖡 câm điếc	
乾	CÀN	乾坤 càn khôn	
乾	KIỀN	乾坤 kiền khôn	
𣷯	cặn	𣷯粑 cặn bã · 𣷯𠴜 cặn kẽ	
筋	CÂN	筋肉 cân nhục	
筋	gân	筋骨 gân cốt · 筋槶 gân guốc [𠸨]	
䌍	cẩn	𣘊物䌍硨磲 đồ vật cẩn xà cừ	
艮	CẤN	卦艮 quái Cấn	
泿	cấn	泿渃 cấn nước	
硍	cấn	硍蹎 cấn chân · 垓硍 gay cấn	
豤	cấn	𤞼豤 lợn cấn	
𫆥	cáng	𫆥當 cáng đáng	
𨀿	cẳng	𨀿蹎 cẳng chân · 𨀿𧦕 cẳng ghế · 𢮩𨀿 𧼋 co cẳng chạy	
庚	CANH	庚子 Canh Tí · 庚寅 Canh Dần	
綆	canh	綆絲黹𡲫 canh tơ chỉ vải	
𥓷	canh	叫𥓷𥓷 kêu canh canh [聲]	
鐛	cảnh	鐎鐛 cảnh tiu	
稿	CẢO	稿論 cảo luận  · 稿葬 cảo táng · 遺稿 di cảo · 稿𦹳 cảo thơm	
縞	CẢO	縞服 cảo phục	
𠞟	cạo	刀𠞟 dao cạo	
𫊩	cạp	𧌂𫊩 bọ cạp	
𠳖	cạp	咜𠳖 xà cạp	
芨	CẬP	白芨 bạch cập	
桔	CÁT	桔梗 cát cánh	
桔	quýt	桔糖 quýt đường	
𪁄	cắt	𪀄𪁄 chim cắt	
吃	CẬT	吃力 cật lực	
吃	khật	吃啹 khật khừ · 吃𢓋 khật khưỡng	
𦛋	cật	果𦛋 quả cật · 𦛋𥯌 cật tre	
皋	cau	皋𣮮 cau mày	
㤧	cáu	㤧噶 cáu gắt	
垢	cáu	垢𡑪 cáu ghét	
𧧷	càu	𧧷𦈂 càu nhàu	
駒	CÂU	𨀒駒 vó câu	
狗	CẨU	海狗 hải cẩu · 靈狗 linh cẩu	
枸	CẨU	枸杞 cẩu kỉ	
苟	CẨU	苟且 cẩu thả	
𫽚	cẩu	𫽚行 cẩu hàng · 竿𫽚 cần cẩu	
逅	CẤU	邂逅 giải cấu	
椇	cọ	𣘃椇 cây cọ	
𢮭	cọ	𠳚𢮭 cãi cọ · 𢮭嚓 cọ xát	
賈	CỔ	賈害 cổ hại	
臌	CỔ	臌脹 cổ trướng	
𡚝	cồ	大𡚝越 Đại Cồ Việt · 𪀄𪄸𡚝 chim trích cồ	
鈷	cỗ	鈷炮 cỗ pháo · 鈷排 cỗ bài	
𩚩	cỗ	鎫𩚩 mâm cỗ · 𩚩𢚸 cỗ lòng · 𩚩盤 cỗ bàn	
𨍄	cộ	車𨍄 xe cộ	
𫈅	cóc	果𫈅 quả cóc	
𧋉	cóc	𡥵𧋉 con cóc	
梮	cọc	㨂梮 đóng cọc · 撻梮 đặt cọc · 𩲡梮 còi cọc	
𤭏	cốc	𤭏𠹾𤎏 cốc chịu nóng	
鵒	cốc	𡥵鵒 con cốc	
侷	cộc	裙侷 quần cộc · 侷椂 cộc lốc · 侷𣝀 cộc cằn · 𭊛侷 lộc cộc [聲]	
𢜽	cỏi	勁𢜽 cứng cỏi [𠸨] · 歉𢜽 kém cỏi [𠸨]	
𧄑	cói	𣘃𧄑 cây cói · 𥴜𧄑 chiếu cói	
𠎺	côi	單𠎺 đơn côi · 𠎺𠬒 côi cút · 𣳡𠎺 mồ côi	
臼	cối	臼迆 cối giã	
𦓊（𦓊󠄁）	cỗi	𣝀𦓊 cằn cỗi	
𣛣	cơi	𣛣摕 cơi nới · 𣛣茹 cơi nhà · 𣛣撜𦺓 cơi đựng trầu	
膁	còm	膁𡎝 còm cõi [𠸨]	
𥺻	cốm	餅𥺻 bánh cốm	
𥖜	cộm	𪠗𥖜 dày cộm · 礷𥖜 lộm cộm [𠸨] · 浽 𥖜 nổi cộm	
𣋜	cợm	劇𣋜 kịch cợm	
䐊	cồn	𥻂憑䐊 dán bằng cồn [摱]	
醌	cồn	𨢇醌 rượu cồn [摱] · 性醌 tính cồn [摱] · 空固醌 không có cồn [摱]	
𡑱	cồn	𡑱𡋥 cồn cát · 𡑱𦛌 cồn ruột · 𡑱搞 cồn cào	
𠲟	cớn	𢏣𠲟 cong cớn	
𢏣	cong	𢏣𨙍 cong queo · 塘𢏣 đường cong · 𢏣 𠲟 cong cớn	
𠗸	cóng	冷𠗸 lạnh cóng · 洌𠗸 rét cóng · 𠗸𢬣 cóng tay · 𠗸渃 cóng nước	
𣌶	còng	𣌶𨉞 còng lưng · 丐𣌶 cái còng · 𣌶𢬣 còng tay	
𧋄	còng	𡥵𧋄𧋄 con còng còng	
𮜲	cõng	𮜲僥 cõng nhau · 𮜲𧋻哏𪃿茹 cõng rắn cắn gà nhà	
𦮎	cọng	𦮎蔞 cọng rau · 𦮎稴 cọng rơm · 𦮎𦹯 cọng cỏ	
𨫋	cồng	丐𨫋 cái cồng · 㗂𨫋 tiếng cồng · 𨫋𡙴 cồng kềnh [𠸨]	
秴	cóp	𭊫秴 ki cóp · 秴抇 cóp nhặt · 秴排 cóp bài [摱]	
秴	cốp	秴車 cốp xe [摱]	
𠺻	cộp	𡂏𠺻 lộp cộp · 𦖑𠬠㗂𠺻 nghe một tiếng cộp	
嗗	cót	嗗咭 cót két [聲] · 絏嗗 dây cót [摱]	
嗗	khụt	嗗喫 khụt khịt	
𥱪	cót	𥱪穭 cót lúa	
噘	cọt	噘搩 cọt kẹt [聲]	
撅	cột	撅馭 cột ngựa	
榘	củ	榘𧃷 củ khoai	
岣	cù	岣嶗 cù lao	
樛	cù	畑樛 đèn cù	
懼	CỤ	驚懼 kinh cụ	
据	CƯ	拮据 kiết cư	
渠	CỪ	渠魁 cừ khôi · 爐渠 lò cừ · 窒渠 rất cừ · 開渠 khai cừ · 渠㨂艚 cừ đóng tàu	
磲	CỪ	硨磲 xà cừ	
𬄨	cừ	湧𬄨 dộng cừ · 𬄨坡坳 cừ bờ ao	
坖	cữ	𠼤坖 kiêng cữ	
昛	cữ	於昛 ở cữ · 𥝽倲昛 cấy đúng cữ · 昛洌 𡳳𢆥 cữ rét cuối năm	
巨	CỰ	巨擘 cự phách · 巨富 cự phú	
𧍆	cua	𡥵𧍆 con cua · 坧𧍆 gạch cua	
鐻	cứa	割鐻 cắt cứa · 鐻𦙶 cứa cổ	
鐻	khứa	鐻對 khứa đôi · 鐻𤿭柑 khứa vỏ cam	⇔ 鐻 cứa
距	cựa	具距 cụ cựa [𠸨] · 距揆 cựa quậy	
䗇	cúc	𡥵䗇 con cúc	
鞠	CÚC	鞠躬 cúc cung	
𨨠	cúc	𨨠襖 cúc áo	
𣔞	cui	錐𣔞 dùi cui · 𨆢𣔞 lui cui	
獪（狯）	cúi	𩵜獪 cá cúi	
㽿	cùi	病㽿 bệnh cùi	
蒐	cùi	蒐椰 cùi dừa · 蒐𣔟 cùi bắp · 蒐𦙴 cùi chỏ	
𪇋	cùi	𪀄𪂰𪇋 chim giẻ cùi	
圚	cũi	丐圚 cái cũi · 圚㹥 cũi chó	
𢷴	cụi	扲𢷴 cặm cụi · 𥟹𢷴 lụi cụi [𠸨]	
𦀻	cửi	縸𦀻 mắc cửi	
檎	cùm	杠檎 gông cùm	
𪂳	cun	𪂳𪄥 cun cút	
猑	cún	𡥵猑 con cún	
裩	cùn	丐裩 cái cùn	
𨮉	cùn	刀𨮉 dao cùn · 䇛𨮉 chổi cùn · 理事𨮉 lí sự cùn	
躬	CUNG	鞠躬 cúc cung	
栱	củng	栱頭 củng đầu	
硔	cụng	硔頭 cụng đầu · 𤙭硔 bò cụng	
畺	cưng	畺𡥵 cưng con · 畺朝 cưng chiều	
钁	cuốc	丐钁 cái cuốc · 钁步 cuốc bộ	
𪅦	cuốc	𪀄𪅦 chim cuốc	
腳	CƯỚC	腳蹎 cước chân · 根腳 căn cước · 山腳 sơn cước · 腳費 cước phí	
𦃁	cước	𡥵𦃁 con cước · 用𦃁𫜵絏竿鉤 dùng cước làm dây cần câu · 𢬣發𦃁 tay phát cước	
挶	cược	亇挶 cá cược · 撻挶 đặt cược · 挶錢 cược tiền · 挶貝僥 cược với nhau	
𥖩（𬒊）	cuội	𥒥𥖩 đá cuội · 𠲕𥖩 nhăng cuội · 吶嚉如𥖩 nói dối như cuội	
玵	cườm	玵𢬣 cườm tay · 籺玵 hạt cườm	
㤮	cuống	隴㤮 luống cuống	
𧋵	cuống	蜞𧋵 cà cuống	
𫈃	cuống	𫈃花 cuống hoa	
𠚵	cúp	𠚵𩯀 cúp tóc [摱] · 𠚵電 cúp điện [摱] · 𠚵糧 cúp lương [摱]	
磆	cút	磆𨢇 cút rượu	
𠬒	cút	𠬒𠫾 cút đi · 𠎺𠬒 côi cút	
𪄥	cút	𪂳𪄥 cun cút	
𡭕	cụt	𡭕興 cụt hứng · 𩩫𡭕 xương cụt · 𥣛𡭕 mống cụt	
𮇕	cứt	𮇕𤛠 cứt trâu · 𮇕𪃿 cứt gà · 𮇕瀻 ứt đái · 𮇕鉄 cứt sắt	
𤀞	chả	𠋺𤀞別 tau chả biết	
𪃲	chả	𪀄𪃲 chim chả	
乍	chạ	終乍 chung chạ · 𨄂乍 lang chạ	
擢	chạc	咹擢 ăn chạc · 擢錢 chạc tiền · 𨀧擢 chững chạc	
𫃶	chạc	𫃶𣘃 chạc cây · 絏𫃶 dây chạc	
𫫊	chách	吶攊𫫊 nói lách chách	
𦃀	chải	𦃀𩯀 chải tóc · 盤𦃀 bàn chải · 𦃀础 chải chuốt · 倴𦃀 bươn chải · 𥳂𦃀頭 lược chải đầu	
厔	chái	厔茹 chái nhà · 𡏘厔 hè chái	
櫅	chay	𣘃櫅 cây chay	
𩶪	cháy	𩵜𩶪 cá cháy	
𣖖	chày	琫𣖖 bóng chày · 𠳚𣖖𠳚臼 cãi chày cãi cối	
𩹭	chày	𩵜𩹭 cá chày	
𢥖	chây	𢥖𢜞 chây lười	
𢥖	trây		⇔ 𢥖 chây
𤈜	chấy	𤈜𩵽 chấy tôm	
𤈜	chấy	𧋺𧎠 chấy rận	
𧋺	chí	固𧋺時𢴖 có chí thì gãi	⇔ 𧋺 chấy
痁	chàm	病痁 bệnh chàm · 𩈘浽痁 mặt nổi chàm	
灆	chàm	襖灆 áo chàm	
𥾚	chầm	揞𥾚 ôm chầm · 𥾚𥾚 chầm chậm	
𧿒	chẫm	𨈇𧿒 lẫm chẫm	
𧿒	đẫm		⇔ 𧿒 chẫm
滇	chan	滇羹 chanh canh · 滇貯 chan chứa · 斧㧺滇𠹗 búa đập chan chát	
診	CHẨN	診斷 chẩn đoán	
賑	CHẨN	賑濟 chẩn tế · 發賑 phát chẩn	
𣆮	chang	依𣆮 y chang · 𣌝𣆮𣆮 nắng chang chang	
鋹	chàng	丐鋹 cái chàng	
𧑆	chàng	𧊌𧑆 chão chàng	
橙	chanh	橙些 chanh ta · 橙西 chanh tây · 茶橙 chè chanh · 茶橙 trà chanh · 伶橙 lanh chanh [𠸨]	
𦭒	chánh	𧤁固𦭒 sừng có chánh	
湩	chành	湩膨 chành bành · 湩湩 chành chạnh ·泈湩 chòng chành	
湩	chạnh		⇔ 湩 chành
湩	nhành		⇔ 湩 chành
湩	trành	泈湩 tròng trành	⇔ 湩 chành
