# 香港浸會大學-小學中文科常用字表
# 共3000字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	序號(級別)	級別	部件/單字	常用度	難度	筆畫

狗	779	2	單字	1189	973	8
板	780	2	單字	793	976	8
例	781	2	單字	412	981	8
味	782	2	單字	613	997	8
治	783	2	單字	414	1042	8
所	784	2	單字	77	1118	8
迎	785	2	單字	846	1142	8
招	786	2	單字	997	1173	8
返	787	2	單字	1520	1205	8
附	788	2	單字	869	1221	8
肯	789	2	單字	930	1251	8
依	790	2	單字	578	1282	8
炒	791	2	單字	2021	1557	8
芳	792	2	單字	1491	1622	8
芝	793	2	單字	2251	1847	8
芭	794	2	單字	2619	2195	8
坪	795	2	單字	2417	2289	8
披	796	2	單字	1993	2396	8
架	797	2	單字	958	14	9
盆	798	2	單字	1847	40	9
界	799	2	單字	273	164	9
祝	800	2	單字	1121	202	9
昨	801	2	單字	947	235	9
洗	802	2	單字	981	350	9
洞	803	2	單字	1136	430	9
派	804	2	單字	674	466	9
約	805	2	單字	374	545	9
指	806	2	單字	269	600	9
孩	807	2	單字	445	705	9
省	808	2	單字	601	733	9
降	809	2	單字	878	742	9
城	810	2	單字	478	752	9
俗	811	2	單字	1175	761	9
哈	812	2	單字	756	762	9
厚	813	2	單字	1072	782	9
胞	814	2	單字	1330	834	9
珍	815	2	單字	1096	899	9
訂	816	2	單字	1095	946	9
紀	817	2	單字	504	1060	9
計	818	2	單字	261	1130	9
按	819	2	單字	811	1151	9
施	820	2	單字	667	1171	9
怒	821	2	單字	1575	1291	9
柏	822	2	單字	1667	1386	9
咬	823	2	單字	1779	1435	9
拾	824	2	單字	1739	1475	9
郊	825	2	單字	1803	1491	9
娃	826	2	單字	1579	1539	9
枯	827	2	單字	1867	1555	9
挖	828	2	單字	1616	1565	9
柱	829	2	單字	1451	1583	9
竿	830	2	單字	2438	1695	9
趴	831	2	單字	3119	2061	9
炮	832	2	單字	1743	/	9
桌	833	2	單字	1091	166	10
格	834	2	單字	365	186	10
站	835	2	單字	467	209	10
耕	836	2	單字	1496	252	10
班	837	2	單字	477	268	10
庭	838	2	單字	817	281	10
