# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
𫫢	bự	𫫢哃 bự đùng · 𫰅𫫢 to bự · 翁 𫫢 ông bự · 𦙶𫫢𡑪 cổ bự ghét · 𩈘𫫢粉 mặt bự phấn · 𬃻𦹳𫫢 trái thơm bự	U+2BAE2
䋠	bủa	䋠䋥 bủa lưới · 䋠圍 bủa vây	U+42E0
𭎟	bựa	𭎟𩚵 bựa cơm · 𭎟𪘵 bựa răng	U+2D39F
㯷	bục	㯷講 bục giảng · 磟㯷 lục bục	[翻] U+3BF7
𠸟	bui	𠸟固𠬠𢚸忠悋孝 bui có một lòng trung lẫn hiếu	U+20E1F
筫	búi	筫𦹯 búi cỏ · 筫𩯀徠 búi tóc lại	U+7B6B
𣱭	bủm	丐𣱭 cái bủm	U+23C6D
𡀫	bùm	𡀫 bùm [聲]	U+2102B
𡀫	lẩm	𡀫唫 lẩm cẩm · 𡀫稟 lẩm bẩm [𠸨]	
𡀫	rẩm	𫫣𡀫 rên rẩm [𠸨]	
𠏟	bụm	𠬠𠏟𥽌 một bụm gạo · 𠏟𠰘唭 bụm miệng cười	[翻] U+203DF
㤓	bủn	㤓𫢗 bủn xỉn · 㤓噋 bủn rủn	U+3913
𥻸	bún	𥻸𦙣 bún mọc	U+25EF8
𨮇	bung	𨮇衝 bung xung	[翻] U+28B87
𣵮	bưng	𣵮洴 bưng biền	[翻] U+23D6E
掤	bứng	掤𣘃 bứng cây · 掤𪥘󠄁家庭𠫾𬨠沔 𡶀 bứng cả gia đình đi lên miền núi	U+63A4
𣞻（𣘓）	bưởi	𣘃𣞻 cây bưởi · 絁𤿭𣞻 the vỏ bưởi	U+237BB (U+23613)
𬗄	bươm	襤𬗄 lươm bươm · 𧛊𬗄 rách bươm	U+2C5C4
倴	bươn	倴把 bươn bả · 倴𦃀 bươn chải	U+5034
𤶽	buốt	洌𤶽 rét buốt · 𤴬𤶽 đau buốt · 𤶽䏧 buốt da	U+24DBD
蚫	bươu	蚫頭 bươu đầu · 𧎜蚫 ốc bươu	U+86AB
𤷶	bướu	丐𤷶 cái bướu · 𤷶𦙶 bướu cổ	U+24DF6
伓	bứt	伓𢲼 bứt rứt · 伓𩯀 bứt tóc · 伓 𦹯憑鐮 bứt cỏ bằng liềm	U+4F13
𣘁	CA	𣘁茶 ca trà [摱]	U+23601
咖	CÀ	咖啡 cà phê	U+5496
咖	cà	咖筥 cà rá · 咖計 cà kê · 咖𩨼 cà kheo · 邏咖 la cà	
蜞	cà	蜞𧋵 cà cuống	U+871E
𡁤	cạc	𡁤𡁤 cạc cạc [聲] · 𡁤𦁸 cạc mạng [摱] · 𡁤幔形 cạc màn hình	U+21064
䏱	cặc	檑䏱𤙭 roi cặc bò	U+43F1
䏱	kẹc		⇔ 䏱 cặc
㘌	cạch	㘌𩈘 cạch mặt · 㘌𦤾𫅷 cạch đến già · 梮㘌 cọc cạch · 𤃝㘌 lạch cạch [聲]	U+360C
街	cai	老街 Lào Cai	𡨸尼得讀如格發音尼只𥪝名詞𥢆尼。 Chữ này được đọc như cách phát âm này chỉ trong danh từ riêng này. U+8857
該	CAI	該管 cai quản · 該治 cai trị ·該總 cai tổng	[翻] U+8A72
𣒵	cải	𧵑𣒵 của cải · 𣒵𡏢 cải mả	U+234B5
掑	cài	掑𨷯 cài cửa · 掑擺 cài bẫy · 掑撻 cài đặt	U+6391
𧉝	cáy	𡥵𧉝 con cáy · 𧍆𧉝 cua cáy · 𩻐𧉝 mắm cáy · 㦉如𧉝 nhát như cáy	U+2725D
𧉝	cạy	𢭄𨷯 cạy cửa	U+22B44
𢭄	cậy		⇔ 𢭄 cạy
