# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
𦮎	cọng	𦮎蔞 cọng rau · 𦮎稴 cọng rơm · 𦮎𦹯 cọng cỏ	U+26B8E
攻	CÔNG	攻擊 công kích · 進攻 tiến công · 反攻 phản công	U+653B
蚣	CÔNG	蜈蚣 ngô công	U+86A3
貢	CỐNG	貢獻 cống hiến · 貢品 cống phẩm · 進貢 tiến cống · 納貢 nộp cống · 翁貢 ông cống · 貢濟𦀨 công(cống)-te-nơ [摱]	[翻] U+8CA2
秴	cóp	𭊫秴 ki cóp [𠸨] · 秴抇 cóp nhặt · 秴排 cóp bài [摱]	[翻] U+79F4
秴	cốp	秴車 cốp xe [摱]	[翻]
𠺻	cộp	𡂏𠺻 lộp cộp · 𦖑𠬠㗂𠺻 nghe một tiếng cộp	U+20EBB
嗗	cót	嗗咭 cót két [聲] · 絏嗗 dây cót [摱]	[翻] U+55D7
嗗	khụt	嗗喫 khụt khịt	
𥱪	cót	𥱪穭 cót lúa	U+25C6A
噘	cọt	噘搩 cọt kẹt [聲]	U+5658
撅	cột	撅馭 cột ngựa	U+6485
榘	củ	榘𧃷 củ khoai	U+6998
岣	cù	岣嶗 cù lao	U+5CA3
樛	cù	畑樛 đèn cù	U+6A1B
懼	CỤ	驚懼 kinh cụ	U+61FC
据	CƯ	拮据 kiết cư	U+636E
渠	CỪ	渠魁 cừ khôi · 爐渠 lò cừ · 窒渠 rất cừ · 開渠 khai cừ · 渠㨂艚 cừ đóng tàu	U+6E20
磲	CỪ	硨磲 xà cừ	U+78F2
𬄨	cừ	湧𬄨 dộng cừ · 𬄨坡坳 cừ bờ ao	U+2C128
坖	cữ	𠼤坖 kiêng cữ	U+5756
昛	cữ	於昛 ở cữ · 𥝽倲昛 cấy đúng cữ · 昛洌𡳳𢆥 cữ rét cuối năm	U+661B
巨	CỰ	巨擘 cự phách · 巨富 cự phú	U+5DE8
𧍆	cua	𡥵𧍆 con cua · 坧𧍆 gạch cua	U+27346
鐻	cứa	割鐻 cắt cứa · 鐻𦙶 cứa cổ	U+943B
鐻	khứa	鐻對 khứa đôi · 鐻𤿭柑 khứa vỏ cam	⇔ 鐻 cứa
䗇	cúc	𡥵䗇 con cúc	U+45C7
𨨠	cúc	𨨠襖 cúc áo	U+28A20
鞠	CÚC	鞠躬 cúc cung	U+97A0
𣔞	cui	錐𣔞 dùi cui · 𨆢𣔞 lui cui	[翻] U+2351E
獪（狯）	cúi	𩵜獪 cá cúi	U+736A (U+72EF)
㽿	cùi	病㽿 bệnh cùi	U+3F7F
蒐	cùi	蒐椰 cùi dừa · 蒐𣔟 cùi bắp ·蒐𦙴 cùi chỏ	U+8490
𪇋	cùi	𪀄𪂰𪇋 chim giẻ cùi	U+2A1CB
圚	cũi	丐圚 cái cũi · 圚㹥 cũi chó	U+571A
𦀻	cửi	縸𦀻 mắc cửi	U+2603B
𪂳	cun	𪂳𪄥 cun cút	[翻] U+2A0B3
𠽓	củn	侖𠽓 lủn củn [𠸨]	U+20F53
𠽓	ngốn	𠽓𣿃 ngốn ngấu [𠸨]	
𠽓	ngủn	𠽓𠰂 ngủn ngoẳn [𠸨]	
猑	cún	𡥵猑 con cún	U+7311
裩	cùn	丐裩 cái cùn	U+88E9
𨮉	cùn	刀𨮉 dao cùn · 䇛𨮉 chổi cùn ·理事𨮉 lí sự cùn	U+28B89
躬	CUNG	鞠躬 cúc cung	U+8EAC
栱	củng	栱頭 củng đầu	U+6831
鞏	CỦNG	鞏固 củng cố	U+978F
硔	cụng	硔頭 cụng đầu · 𤙭硔 bò cụng	U+7854
畺	cưng	畺𡥵 cưng con · 畺朝 cưng chiều	[翻] U+757A
𪅦	cuốc	𪀄𪅦 chim cuốc	U+2A166
钁	cuốc	丐钁 cái cuốc · 钁步 cuốc bộ	U+9481
腳	CƯỚC	腳蹎 cước chân · 根腳 căn cước · 山腳 sơn cước · 腳費 cước phí	U+8173
𦃁	cước	𡥵𦃁 con cước · 用𦃁𫜵絏竿鉤 dùng cước làm dây cần câu · 𢬣發𦃁 tay phát cước	U+260C1
挶	cược	亇挶 cá cược · 撻挶 đặt cược ·挶錢 cược tiền · 挶貝僥 cược với nhau	U+6336
𡳳（𡳃）	cuối	𡳳窮 cuối cùng	[異] 𡳜 U+21CF3 (U+21CC3)
𥖩（𬒊）	cuội	𥒥𥖩 đá cuội · 𠲕𥖩 nhăng cuội · 吶嚉如𥖩 nói dối như cuội	U+255A9 (U+2C48A)
玵	cườm	玵𢬣 cườm tay · 籺玵 hạt cườm	U+73B5
㤮	cuống	隴㤮 luống cuống	U+392E
𧋵	cuống	蜞𧋵 cà cuống	U+272F5
𫈃	cuống	𫈃花 cuống hoa	U+2B203
崗	CƯƠNG	崗位 cương vị	U+5D17
𠚵	cúp	𠚵𩯀 cúp tóc [摱] · 𠚵電 cúp điện [摱] · 𠚵糧 cúp lương [摱]	U+206B5
𠬒	cút	𠬒𠫾 cút đi · 𠎺𠬒 côi cút	U+20B12
磆	cút	磆𨢇 cút rượu	U+78C6
𪄥	cút	𪂳𪄥 cun cút	U+2A125
𮇕	cứt	𮇕𤛠 cứt trâu · 𮇕𪃿 cứt gà · 𮇕瀻 cứt đái · 𮇕鉄 cứt sắt	U+2E1D5
𤀞	chả	𠋺𤀞別 tau chả biết	U+2401E
𪃲	chả	𪀄𪃲 chim chả	U+2A0F2
炙	CHÁ	膾炙 khoái chá	U+7099
炙	trá	膾炙 khoái trá	
乍	chạ	終乍 chung chạ · 𨄂乍 lang chạ	U+4E4D
𫃶	chạc	𫃶𣘃 chạc cây · 絏𫃶 dây chạc	U+2B0F6
𫫊	chách	吶攊𫫊 nói lách chách	U+2BACA
𦃀	chải	𦃀𩯀 chải tóc · 盤𦃀 bàn chải · 𦃀𱐟 chải chuốt · 倴𦃀 bươn chải · 𥳂𦃀頭 lược chải đầu	U+260C0
厔	chái	厔茹 chái nhà · 𡏘厔 hè chái	U+5394
櫅	chay	𣘃櫅 cây chay	U+6AC5
𩶪	cháy	𩵜𩶪 cá cháy	U+29DAA
𣖖	chày	琫𣖖 bóng chày · 𠳚𣖖𠳚臼 cãi chày cãi cối	U+23596
𩹭	chày	𩵜𩹭 cá chày	U+29E6D
𢥖	chây	𢥖𢜞 chây lười	U+22956
𢥖	trây		⇔ 𢥖 chây
𤈜	chấy	𤈜𩵽 chấy tôm	U+2421C
𧋺	chấy	𧋺𧎠 chấy rận	U+272FA
𧋺	chí	固𧋺時𢴖 có chí thì gãi	⇔ 𧋺 chấy
痁	chàm	病痁 bệnh chàm · 𩈘浽痁 mặt nổi chàm	U+75C1
灆	chàm	襖灆 áo chàm	U+7046
枕	chắm	枕枕 chăm chắm [𠸨]	U+6795
枕	chăm	枕枕 chăm chắm [𠸨]	⇔ 枕 chắm
紞	chầm	揞紞 ôm chầm	U+7D1E
𧿒	chẫm	𨈇𧿒 lẫm chẫm [𠸨]	U+27FD2
𧿒	đẫm		⇔ 𧿒 chẫm
診	CHẨN	診斷 chẩn đoán	U+8A3A
賑	CHẨN	賑濟 chẩn tế · 發賑 phát chẩn	U+8CD1
払	chàng	英払 anh chàng · 払𤳆 chàng trai	[異] 撞 U+6255
鋹	chàng	丐鋹 cái chàng	U+92F9
𧑆	chàng	𧊌𧑆 chão chàng	U+27446
𣈚	chạng	𣈚暀 chạng vạng [𠸨]	U+2321A
橙	chanh	橙些 chanh ta · 橙西 chanh tây · 茶橙 chè chanh · 茶橙 trà chanh · 伶橙 lanh chanh [𠸨]	U+6A59
𦭒	chánh	𧤁固𦭒 sừng có chánh	U+26B52
湩	chành	湩膨 chành bành · 湩湩 chành chạnh · 泈湩 chòng chành	U+6E69
湩	chạnh		⇔ 湩 chành
湩	nhành		⇔ 湩 chành
湩	trành	泈湩 tròng trành	⇔ 湩 chành
𢤜	chạnh	𢤜𢚸 chạnh lòng	U+2291C
𧊌	chão	𧊌𧑆 chão chàng	U+2728C
𥿣	chão	抃𥿣 bện chão	U+25FE3
𤌀	chập	𤌀𤈛 chập choạng [𠸨]	U+24300
𤌀	kíp	𤌀砮 kíp nổ · 銃𤌀 súng kíp	
縶	chập	縶重 chập chùng [𠸨]	U+7E36
縶	trập	縶𢂎 trập dù · 㹥縶𦖻 chó trập tai	[翻]
𤁩	chắt	𤁩漉 chắt lọc · 𤁩招 chắt chiu	U+24069
𡦫	chắt	𡥙𡦫 cháu chắt	U+219AB
劕	chặt	劕𣘃 chặt cây	U+5295
𬘋	chặt	𬘋䊼 chặt chẽ	[翻] U+2C60B
㑳	châu	官㑳 quan châu	U+3473
楱	chấu	蹎楱 chân chấu · 塊𠶎宗 4 楱 khối bê-tông 4 chấu	U+6971
𨗛	chầu	𨗛徝 chầu chực · 𨗛紒 chầu rìa · 𨗛𡗶 chầu trời · 咹𠬠𨗛 ăn một chầu	U+285DB
𡊱	chậu	𩩫𡊱 xương chậu · 𡊱渃 chậu nước	U+212B1
𢯙	chẻ	𢯙檜 chẻ củi · 𢯙𥯌 chẻ tre	U+22BD9
𢯙	ché	𡍘𩻐 ché mắm	U+21358
𡍘	choé		⇔ 𡍘 ché
痆	chề	𠲖痆 ê chề · 𥘀痆痆 nặng chề chề	U+75C6
𬿈	chếch	佂𬿈 chênh chếch	[翻] U+2CFC8
擲	chệch	𫜵擲 làm chệch	U+64F2
擲	trệch		⇔ 擲 chệch
鮎	chẽm	𩵜鮎 cá chẽm	U+9B8E
拈	chêm	拈𠓨 chêm vào · 𩪞拈 sụn chêm	U+62C8
沾	chễm	沾治 chễm chệ	U+6CBE
𢸢	chẹn	𢸢𦙶 chẹn cổ · 𢸢卬 chẹn ngang	U+22E22
𨠣	chếnh	𨠣𤶜 chếnh choáng	U+28823
𠲜	chềnh	𫯳𠲜 chồng chềnh · 𠲜𪝼 chềnh ềnh	U+20C9C
㹦	cheo	𡥵㹦㹦 con cheo cheo · 㹦蹽 cheo leo [𠸨]	U+3E66
𧵓	cheo	𡠣𧵓 cưới cheo	U+27D53
袑	chéo	袑巾 chéo khăn · 塘袑 đường chéo · 袑𧣳 chéo góc	[異] 𧝨 U+8891
劄	chép	𥱬劄 ghi chép · 抄劄 sao chép	U+5284
紥	chét	𧌂紥 bọ chét · 𠬠紥𢬣 một chét tay	U+7D25
𬗗	chẹt	𬗗𦙥 chẹt họng · 扒𬗗 bắt chẹt	[翻] U+2C5D7
枝	CHI	枝節 chi tiết · 枝儨 chi chít	U+679D
𫩝	chi	叫𫩝𫩝 kêu chi chi (chí chí) [聲]	U+2BA5D
址	CHỈ	地址 địa chỉ · 遺址 di chỉ	U+5740
𡛰	chỉ		⇔ 姉𧘇 chị ấy U+216F0
誌	CHÍ	報誌 báo chí · 標誌 tiêu chí ·輿地誌 dư địa chí	U+8A8C
鈘	chì	筆鈘 bút chì · 鈘折 chì chiết [𠸨]	U+9218
𢶾	chỉa	撍𢶾 chôm chỉa [𠸨]	U+22DBE
䤠	chĩa	䤠𠀧 chĩa ba · 䤠銃 chĩa súng	U+4920
䤠	chỉa		⇔ 䤠 chĩa
隻	CHÍCH	隻身 chích thân · 單隻 đơn chích	[翻] U+96BB
隻	chiếc	隻船 chiếc thuyền · 隻𩠴 chiếc gối · 單隻 đơn chiếc	
𪮁	chịch	𪮁 chịch [俗]	U+2AB81
煎	chiên	𩚵煎 cơm chiên · 𥸷煎 xôi chiên · 煎𤇤 chiên xào	U+714E
邅	CHIÊN	迍邅 truân chiên	U+9085
邅	CHUYÊN	迍邅 truân chuyên	
廛	chiền	𫷨廛 chùa chiền	U+5EDB
鉦	chiêng	鉦𤿰 chiêng trống	U+9266
𠲷	chiếp	𠲷𠲷 chiêm chiếp [聲]	U+20CB7
𠲷	chiêm		⇔ 𠲷 chiếp
折	CHIẾT	折扣 chiết khấu · 折率 chiết suất · 折𣘃 chiết cây · 鈘折 chì chiết [𠸨]	U+6298
折	thiệt	折害 thiệt hại · 折命 thiệt mạng	
昭	chiêu	姑昭 cô chiêu · 冘昭 đăm chiêu · 蹎冘跢蹎昭 chân đăm đá chân chiêu	U+662D
𣸬	chiêu	𣸬𠬠喁渃 chiêu một ngụm nước	U+23E2C
沼	CHIỂU	沼臺 chiểu đài	U+6CBC
炤	chiểu	阮廷炤 Nguyễn Đình Chiểu	⇔ 照 chiểu U+70A4
𥴜	chiếu	𧜖𥴜 chăn chiếu	U+25D1C
呫	chím	𠶍呫 chúm chím [𠸨]	U+546B
呫	dụm	𧶄呫 dành dụm	[翻]
㐱	chỉn	㐱周 chỉn chu	[翻] U+3431
𠃩	chín	次𠃩 thứ chín	U+200E9
儨	chít	儨巾 chít khăn · 儨𠴜汻 chít kẽ hở	U+5128
𦙴	chỏ	蒐𦙴 cùi chỏ · 𪐬𦙴 ngòn chỏ ·指𦙴 chỉ chỏ	U+26674
啫	chơ	啫噅 chơ vơ · 𢣻啫 lơ chơ	[翻] U+556B
𥡈	choai	𥡈𥡈 choai choai · 馭𥡈 ngựa choai	U+25848
鏯	choảng	𬂆鏯 loảng choảng [𠸨]	U+93EF
鏯	xoảng	𨰧鏯 xủng xoảng [聲] · 鏯鏯 xoang xoảng [聲]	
鏯	soảng		⇔ 鏯 xoảng
鏯	xoang		⇔ 鏯 xoảng
鏯	choạng	𨃹𫏈 loạng choạng [𠸨]	U+2B3C8
𫏈	quàng	𫏈𠓨 quàng vào · 瓊𫏈 quềnh quàng	
㑁	choắt	傈㑁 loắt choắt [𠸨]	U+3441
㑁	chứt	𠊛㑁 người Chứt	
𣘌	chóc	榘𣘌 củ chóc	U+2360C
㫼	choé	至㫼 chí choé · 𧹻㫼 đỏ choé	U+3AFC
𦴶	choè	𦴶𣾵 choè choẹt	U+26D36
𪄦	choè	𬷩𪄦 chích choè	U+2A126
𲇥	choẹ	𥬧𲇥 chũm choẹ [𠸨]	U+321E5
𣾵	choẹt	𦴶𣾵 choè choẹt	U+23FB5
椎	choi	𩁦椎 loi choi [𠸨]	U+690E
椎	chòi	椎𫥨 chòi ra · 椎𪝅 chòi mòi	
𢊛	chòi	𢊛更 chòi canh · 𢊛擱 chòi gác	U+2229B
䒹	chồi	𠛌䒹䄧𦬩 đâm chồi nẩy lộc	[翻] U+44B9
𠱤	chội	𡒻𠱤 chật chội [𠸨]	U+20C64
𤈪	chới	𤈪貝 chới với · 執𤈪 chấp chới	U+2422A
笘	chòm	笘𣇟 chòm sao · 笘𥯎 chòm xóm · 笘𩯁 chòm râu · 笘𣘃 chòm cây	U+7B18
撍	chôm	撍𢶾 chôm chỉa [𠸨]	U+648D
跕	chổm	主跕 chúa chổm · 跕𧻭 chổm dậy	[翻] U+8DD5
𨇸	chồm	謖𧜖𨇸𧻭 tốc chăn chồm dậy	U+281F8
𡹟	chởm	𡾭𡹟 lởm chởm	U+21E5F
𡹟	chơm	𡹟𡹟 chơm chởm [𠸨]	⇔ 𡹟 chởm
佔	chớm	佔𦬑 chớm nở · 佔病 chớm bệnh	U+4F54
嶟	chon	嶟𡻖 chon von [𠸨]	U+5D9F
炵	chong	炵畑 chong đèn · 炵炵 chong chong [𠸨]	U+70B5
𥵾	chỏng	𥵾槓 chỏng gọng · 𥵾啫 chỏng chơ · 挵𥵾 lỏng chỏng	U+25D7E
泈	chòng	泈湩 chòng chành · 泈嘺 chòng ghẹo	U+6CC8
泈	tròng	泈湩 tròng trành	⇔ 泈 chòng
蔠	chông	𢱛蔠 rải chông · 蔠佂 chông chênh [𠸨]	[翻] U+8520
偅	chổng	偅倞 chổng kềnh · 偅整 chổng chểnh	U+5045
摯	chộp	摯𥙩 chộp lấy · 𠶙摯 bộp chộp	U+646F
𢬮	chọt	𧼋𢬮 chạy chọt	U+22B2E
䱣	chốt	𩵜䱣 cá chốt	U+4C63
𥈳	chột	𥈳眜 chột mắt · 𥈳䏾 chột bụng · 𥈳胣 chột dạ · 煺𥈳 thui chột · 𣘃𥈳 cây chột	U+25233
𡂒	chớt	𡂒𠰹 chớt nhả	U+21092
啁	chu	啁㖼 chu mỏ	U+5541
註	CHÚ	註解 chú giải · 𥱬註 ghi chú ·註釋 chú thích	U+8A3B
媎	chửa	固媎 có chửa	U+5A8E
準	CHUẨN	準備 chuẩn bị · 標準 tiêu chuẩn · 準確 chuẩn xác · 準墨 chuẩn mực	U+6E96
囑（嘱）	CHÚC	遺囑 di chúc	U+56D1 (U+5631)
徝	chực	𨗛徝 chầu chực · 徝䟻 chực chờ	U+5F9D
跮	chúi	跮𠓩 chúi nhủi · 跮𪖫 chúi mũi · 跮頭 chúi đầu	U+8DEE
𢹉	chùi	撈𢹉 lau chùi · 𢹉蹎 chùi chân	U+22E49
𪒽	chũi	𤝞𪒽 chuột chũi · 𧍝𪒽 dế chũi	U+2A4BD
𪒽	trũi	𪒽𪒽 trùi trũi [𠸨]	
𪒽	dũi	𧍝𪒽 dế dũi	⇔ 𪒽 trũi
𪒽	trùi	𪒽𪒽 trùi trũi [𠸨]	⇔ 𪒽 trũi
䍄	chum	丐䍄 cái chum · 䍄㙕 chum vại	U+4344
𠶍	chúm	𠶍呫 chúm chím [𠸨]	U+20D8D
𫇳	chùm	𫇳花 chùm hoa · 𫇳果 chùm quả	[翻] U+2B1F3
𥬧	chũm	𥬧𲇥 chũm choẹ [𠸨]	U+25B27
𥱱	chụm	𥱱徠 chụm lại · 𥱱蹎 chụm chân · 𥱱檜 chụm củi · 𥱱焒 chụm lửa	U+25C71
𨀛	chùn	𨀛𨀈 chùn bước	[翻] U+2801B
盅	CHUNG	盅𨢇 chung rượu	U+76C5
蒸	CHƯNG	餅蒸 bánh chưng · 蒸拮 chưng cất	U+84B8
汋	chuốc	汋𥙩 chuốc lấy · 汋禍 chuốc vạ · 汋𨢇 chuốc rượu	U+6C4B
着	CHƯỚC	扒着 bắt chước	U+7740
𣙯	chuôi	𣙯刀 chuôi dao · 𣙯鎌 chuôi gươm · 捻滕𣙯 nắm đằng chuôi	U+2366F
𩸯	chuối	𩵜𩸯 cá chuối	U+29E2F
漼	chuồi	朱漼𬺗 cho chuồi xuống	U+6F3C
𨒸	chuồn	𨒸𠅒 chuồn mất	U+284B8
彰	CHƯƠNG	表彰 biểu chương	U+5F70
樟	CHƯƠNG	樟腦 chương não	U+6A1F
掌	CHƯỞNG	𣆅掌 phim chưởng · 掌理 chưởng lí · 掌薄 chưởng bạ ·降龍十八掌 Giáng Long Thập Bát Chưởng	U+638C
掌	trương	掌巡 trương tuần	
瘴	CHƯỚNG	瘴氣 chướng khí · 嵐瘴 lam chướng	U+7634
𠶯	chụt	𠶯𠶯 chùn chụt [𠸨]	U+20DAF
𠶯	suỵt	𠶯㹥𫥨𨘗 suỵt chó ra đuổi · 𠶯！𡃊渚 suỵt! khẽ chứ	
𠶯	chùn	𠶯𠶯 chùn chụt [𠸨]	⇔ 𠶯 chụt
也	dả	餘也 dư dả [𠸨]	U+4E5F
𧹟	dà	𤿭𧹟 vỏ dà · 𦭷𧹟 màu dà · 𢴍 𧹟 dần dà [𠸨]	U+27E5F
吔	dã	吔𨢇 dã rượu	U+5414
㖡	dạ	㖡𠳐 dạ vâng	U+35A1
𫐟	dặc	𨱽𫐟 dài dặc · 𫐟𫐟 dằng dặc [𠸨]	U+2B41F
𫐟	dằng	𫐟𫐟 dằng dặc [𠸨]	⇔ 𫐟 dặc
𧜵	dải	𧜵𫄎 dải lụa · 𧜵掩 dải yếm · 𧜵銀河 dải ngân hà · 𧜵分隔 dải phân cách	U+27735
𢘽	dái	坤朱𠊛些𢘽 khôn cho người ta dái	U+2263D
𢘽	rái		⇔ 𢘽 dái
𤋵	dãi	𤋵油 dãi dầu · 𤋵𣌝 dãi nắng	U+242F5
洩	dáy	洳洩 dơ dáy	U+6D29
洩	gỵa	𣾹洩 giặt gỵa [𠸨]	
拽	dấy	拽軍 dấy quân · 拽兵 dấy binh · 焒拽𬨠 lửa dấy lên	U+62FD
𢴗	dạm	𢴗𡉦 dạm ngõ	U+22D17
𥭍	dăm	𥭍𥯌 dăm tre · 𥭍樻 dăm cối	U+25B4D
𨂘	dẫm	𨂘踏 dẫm đạp · 𪭴𨂘 dò dẫm ·唑𨂘 doạ dẫm	U+28098
𦂼	dậm	丐𦂼 cái dậm	U+260BC
𦂼	giậm		⇔ 𦂼 dậm
𢺤	dan	𢺤𢬢 dan díu · 𢺤𢬣 dan tay	U+22EA4
𢴍	dần	𢴍𢴍 dần dần · 𢴍𬚸 dần thịt · 𢴍𧹟 dần dà [𠸨]	U+22D0D
𥳄	dần	丐𥳄 cái dần	U+25CC4
𧿯	dận	𧿯蹎 dận chân · 𧿯𬺗 dận xuống	U+27FEF
𨀊	dằng	𨀍𨀊 dùng dằng	U+2800A
𨀊	nhằng	𨀍𨀊 nhùng nhằng [𠸨]	⇔ 𨀊 dằng
棦	dành	𣘃棦棦 cây dành dành	U+68E6
棦	giành		⇔ 棦 dành
𨄹	dạo	𠫾𨄹 đi dạo	U+28139
𭧙	dạo	𭧙尼 dạo này	U+2D9D9
唊	dap	唊鈐 dap găm [摱]	[翻] U+550A
𰁡	dấp	𠍵𰁡 dáng dấp	U+30061
迭	dặt	𠽮迭 dè dặt · 迭𫇿 dặt thuốc · 𢭼迭 dìu dặt	U+8FED
迭	đít	迭尼 Đít-ni [摱]	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻]
軼	DẬT	軼事 dật sự	U+8EFC
溢	DẬT	餘溢 dư dật	U+6EA2
酉	DẬU	𣇞酉 giờ Dậu · 乙酉 Ất Dậu	U+9149
𣏌	dẻ	楛𣏌蜜 gỗ dẻ mật	U+233CC
鵜	dẽ	鵜𧉙 dẽ giun	U+9D5C
𠴭	dể	輕𠴭 khinh dể	U+20D2D
𧍝	dế	𧍝𧓭 dế mèn · 𧍝𪒽 dế dũi	U+2735D
湜	dề	淫湜 dầm dề · 吔湜 dã dề · 雜湜 tạp dề [摱]	U+6E5C
啖	dèm	啖𢯠 dèm pha	[翻] U+5556
喕	dên	喕𥉬・𰔫・喈𬰹 Dên-lét Dôn Dê-ro [摱]	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻] U+5595
挰	dềnh	挰揚 dềnh dàng	U+6330
溋	dềnh	𨀍溋 dùng dềnh	[翻] U+6E8B
溋	dình		⇔ 溋 dềnh
鞢	dép	𩌂鞢 giày dép · 對鞢 đôi dép	U+97A2
挗	di	挗𡥵蜆朱𣩂 di con kiến cho chết	U+6317
𧻑	dí	𧻑蹺𠸜𥌈 dí theo tên trộm · 𧻑蹺伮𣭻𬨠！ dí theo nó mau lên!	U+27ED1
已	DĨ	已然 dĩ nhiên · 已往 dĩ vãng ·不得已 bất đắc dĩ	U+5DF2
苡	DĨ	薏苡 ý dĩ	U+82E1
杝	dĩa	丐杝 cái dĩa	U+675D
奕	DỊCH	赫奕 hách dịch	U+5955
𪁂	diệc	𪀄𪁂 chim diệc	U+2A042
焰	diêm	焰生 diêm sinh · 包焰 bao diêm · 焰鐄 diêm vàng · 焰臾 diêm dúa [𠸨]	U+7130
閻	DIÊM	閻王 Diêm vương	U+95BB
鹽	DIÊM	政鹽 chính diêm · 鹽田 diêm điền	U+9E7D
艷	DIỄM	嬌艷 kiều diễm · 艷麗 diễm lệ · 艷福 diễm phúc	U+8277
延	DIÊN	外延 ngoại diên · 縣延慶 huyện Diên Khánh	U+5EF6
涎	DIÊN	龍涎香 long diên hương	U+6D8E
涎	rờn	摺涎 rập rờn [𠸨]	
鳶	DIÊN	鳶尾 diên vĩ	U+9CF6
葉	DIẾP	蔞葉 rau diếp · 葉𩵜 diếp cá	U+8449
葉	DIỆP	葉綠 diệp lục · 傾葉 khuynh diệp · 柏葉 bách diệp · 竹葉 trúc diệp	
鍱	DIỆP	鍱𦓿 diệp cày	U+9371
𠺧	diều	丐𠺧 cái diều	U+20EA7
遶	diễu	遶兵 diễu binh · 遶行 diễu hành · 遶庯 diễu phố	U+9076
遶	nhảu	𮞊遶 nhanh nhảu [𠸨]	
遶	nhau	遶遶 nhau nhảu [𠸨]	⇔ 遶 nhảu
耀	DIỆU	黃耀 Hoàng Diệu · 陳光耀 Trần Quang Diệu	U+8000
𥇌	dim	𥋲𥇌 lim dim [𠸨]	[翻] U+251CC
𢸝	dìm	𢸝價行 dìm giá hàng · 𢸝𬺗渃 dìm xuống nước · 伮被姑𢸝 nó bị cô dìm	U+22E1D
𰈏	din	𡥵𰈏 con din	[翻] U+3020F
穎	DĨNH	穎悟 dĩnh ngộ	U+7A4E
穎	nhảnh	𡭺穎 nhí nhảnh [𠸨]	
穎	nhanh	穎穎 nhanh nhảnh [𠸨]	⇔ 穎 nhảnh
鐷	díp	刀鐷 dao díp · 眜鐷徠 mắt díp lại	[翻] U+9437
𢬢	díu	瓢𢬢 bìu díu	U+22B22
𦾤	dó	𣘃𦾤 cây dó · 紙𦾤 giấy dó	U+26FA4
喥	dọ	𠴞次呶徠喥次其 bàn thứ nọ lại dọ thứ kia	U+55A5
𥳉	dô	𩑰𥳉 trán dô	U+25CC9
𥳉	giô		⇔ 𥳉 dô
唋	dớ	𥋶唋 dấm dớ	U+550B
尹	DOÃN	府尹 phủ doãn · 𣱆尹 họ Doãn	U+5C39
允	DOÃN	應允 ưng doãn	U+5141
盈	DOANH	盈餘 doanh dư	U+76C8
𡹐	doi	𡹐𡐙 doi đất	U+21E50
𩜑	dôi	𩜑𫥨 dôi ra	U+29711
𣼭	dồi	𣼭𤁠 dồi dào	U+23F2D
𦟿	dồi	𠰳𦟿 miếng dồi	U+267FF
𢢊	dỗi	𢚷𢢊 giận dỗi · 㘋𢢊 hờn dỗi	U+2288A
𢢊	giỗi	𠇁𢢊 giằn giỗi [𠸨]	
蛦	dơi	𡥵蛦 con dơi	U+86E6
吮	dỏn	吮吮 don dỏn [𠸨]	U+542E
吮	giỏn	吮吮 gion giỏn [𠸨]	
吮	don	吮吮 don dỏn [𠸨]	⇔ 吮 dỏn
吮	gion	吮吮 gion giỏn [𠸨]	⇔ 吮 giỏn
𦛊	dòn	唭𦛊 cười dòn · 𦛊吔 dòn dã ·黰𦛊 đen dòn · 餅𥹠𦛊 bánh đa dòn	U+266CA
槦	dong	𣘃槦 cây dong	U+69E6
𦡦	dỏng	𦡦𦡦 dong dỏng [𠸨]	U+26866
𦡦	dong	𦡦𦡦 dong dỏng [𠸨]	⇔ 𦡦 dỏng
搈	dông	搈𨱽 dông dài	U+6408
𩘪	dông	𩘪𩘣 dông tố · 𩘪𪥘󠄁𢆥 dông cả năm	[翻] U+2962A
𩘪	giông	𩘪𩙍 giông gió	⇔ 𩘪 dông
湧	dộng	湧𨷯 dộng cửa · 湧𬄨 dộng cừ	U+6E67
𣔻	dột	茹𣔻 nhà dột · 𣔻捏 dột nát · 𠻇𣔻 dại dột · 膒𣔻 ủ dột	U+2353B
萸	DU	茱萸 thù du	U+8438
喻	DỤ	比喻 tỉ dụ · 譬喻 thí (ví) dụ ·隱喻 ẩn dụ	U+55BB
輿	DƯ	輿論 dư luận · 輿地誌 dư địa chí	U+8F3F
蕷	dự	𥽌蕷 gạo dự	U+8577
諛	dua	阿諛 a dua · 諛佞 dua nịnh	U+8ADB
臾	dúa	焰臾 diêm dúa [𠸨]	U+81FE
𦼥	dứa	𣘃𦼥 cây dứa · 果𦼥 quả dứa	U+26F25
椰	dừa	𣘃椰 cây dừa	U+6930
筍	DUẨN	黎筍 Lê Duẩn	U+7B4D
