# 澳門增補字符集（Macao Supplementary Character Set (MSCS), 2022）
# 备注：《澳門增補字符集–2022》共包括443個字符，其中漢字427個，符號16個，相比《澳門增補字符集–2020》新增收的字符共有1個。
# 整理自 http://code.web.idv.hk/miscs/miscs.php?i=1
# char	IDS	Unicode	MSCS	舊MAC序號	備註

㹯	⿰犭休	U+3E6F	MD-3E6F		
䁘	⿰目⿱⿻夕丶缶	U+4058-E0101	MD-4058		註冊IVS所需的基本字
䔵	⿱艹閑	U+4535	MD-4535		
䢒	⿺辶交	U+4892	MD-4892		
䨩	⿱雨神	U+4A29-E0101	MD-4A29		註冊IVS所需的基本字
丗	⿻廿丨	U+4E17	MD-4E17		
亖	⿱二二	U+4E96	MD-4E96		
亜	亜	U+4E9C	MD-4E9C		
佀	⿰亻㠯	U+4F40	MD-4F40		
俆	⿰亻余	U+4FC6	MD-4FC6		
俢	⿰亻㣊	U+4FE2	MD-4FE2		
偼	⿰亻⿳⺊⿻コ一龰	U+507C	MD-507C		
兿	⿳䒑执云	U+517F	MD-517F		
冄	⿻冂二	U+5184	MD-5184		
剣	⿰㑒刂	U+5263	MD-5263		
劎	⿰僉刀	U+528E	MD-528E		
劒	⿰僉刃	U+5292	MD-5292		
勲	⿱動灬	U+52F2	MD-52F2		簡體：u31abf
卋	⿱十廿	U+534B	MD-534B		
厡	⿸厂泉	U+53A1	MD-53A1		
叄	⿱𠫯三	U+53C4	MD-53C4		
呉	⿱⿳口𠃑一八	U+5449	MD-5449		
啚	⿱口㐭	U+555A-E0104	MD-555A		註冊IVS所需的基本字
嘨	⿰口粛	U+5628	MD-5628		
圅	⿱龴⿴囗𢆉	U+5705	MD-5705		
圑	⿴囗尃	U+5711	MD-5711		
増	⿰土曽	U+5897	MD-5897		
壦	⿰土雚	U+58E6	MD-58E6		
夀	⿱⿻丄⿳二乛口吋	U+5900	MD-5900		
奬	⿱將大	U+596C	MD-596C		
孉	⿰女雚	U+5B49	MD-5B49		
寜	⿱寍亅	U+5BDC	MD-5BDC		
寭	⿱宀惠	U+5BED	MD-5BED		
尙	⿱小冋	U+5C19	MD-5C19		
尭	⿱卉兀	U+5C2D	MD-5C2D		
屛	⿸尸幷	U+5C5B	MD-5C5B		
岄	⿰山月	U+5C84	MD-5C84		
巌	⿱山厳	U+5DCC	MD-5DCC		
